,token_acc,token_p,token_r,token_f,pos_acc,ents_p,ents_r,ents_f,ents_per_type_MISC_p,ents_per_type_MISC_r,ents_per_type_MISC_f,ents_per_type_PER_p,ents_per_type_PER_r,ents_per_type_PER_f,ents_per_type_LOC_p,ents_per_type_LOC_r,ents_per_type_LOC_f,ents_per_type_ORG_p,ents_per_type_ORG_r,ents_per_type_ORG_f,k,model,augmenter,i
0,0.999150891563858,0.996506637388961,0.9961089494163424,0.9963077537171939,0.0,0.77737881508079,0.7759856630824373,0.7766816143497757,0.7256637168141593,0.6776859504132231,0.7008547008547009,0.8864864864864865,0.9111111111111111,0.8986301369863013,0.7672413793103449,0.9270833333333334,0.839622641509434,0.6853146853146853,0.6086956521739131,0.6447368421052632,0,dacy_medium,No augmentation,0
0,0.9972394755003451,0.961852325238423,0.9760550733313379,0.9689016539566209,0.0,0.3977401129943503,0.6308243727598566,0.4878724878724878,0.2926829268292683,0.5950413223140496,0.39237057220708443,0.44876325088339225,0.7055555555555556,0.5485961123110151,0.5905511811023622,0.78125,0.672645739910314,0.3406113537117904,0.484472049689441,0.4,0,dacy_medium,Keyboard augmentation 0.05%,1
1,0.9970373296464546,0.9630760141788105,0.9758555322757657,0.9694236582585856,0.0,0.36609071274298055,0.6075268817204301,0.45687331536388137,0.2839506172839506,0.5702479338842975,0.3791208791208791,0.41346153846153844,0.7166666666666667,0.524390243902439,0.5147058823529411,0.7291666666666666,0.603448275862069,0.3021276595744681,0.4409937888198758,0.3585858585858586,1,dacy_medium,Keyboard augmentation 0.05%,1
2,0.9969379691821415,0.9625800098473658,0.9752569091090492,0.9688769947467539,0.0,0.4009111617312073,0.6308243727598566,0.49025069637883006,0.3474178403755869,0.6115702479338843,0.44311377245508987,0.47183098591549294,0.7444444444444445,0.5775862068965517,0.5034965034965035,0.75,0.602510460251046,0.3025210084033613,0.4472049689440994,0.3609022556390977,2,dacy_medium,Keyboard augmentation 0.05%,1
3,0.9974863226378826,0.9633235004916421,0.9774518607203432,0.9703362551379191,0.0,0.39770114942528734,0.6200716845878136,0.484593837535014,0.3211009174311927,0.5785123966942148,0.4129793510324484,0.42483660130718953,0.7222222222222222,0.5349794238683128,0.4928571428571429,0.71875,0.5847457627118644,0.3737864077669903,0.4782608695652174,0.4196185286103542,3,dacy_medium,Keyboard augmentation 0.05%,1
4,0.996936153389998,0.963444674352153,0.9755562206924074,0.9694626214554829,0.0,0.3738738738738739,0.5949820788530465,0.45919778699861685,0.30288461538461536,0.5206611570247934,0.38297872340425526,0.44368600682593856,0.7222222222222222,0.5496828752642705,0.48120300751879697,0.6666666666666666,0.5589519650655023,0.2952755905511811,0.4658385093167702,0.36144578313253006,4,dacy_medium,Keyboard augmentation 0.05%,1
0,0.9926773677319237,0.9042942422491816,0.937044796966976,0.920378264491156,0.0,0.16299212598425197,0.3709677419354839,0.22647702407002188,0.11428571428571428,0.36363636363636365,0.17391304347826086,0.20594965675057209,0.5,0.29173419773095627,0.21022727272727273,0.3854166666666667,0.2720588235294118,0.1323529411764706,0.2236024844720497,0.16628175519630486,0,dacy_medium,Keyboard augmentation 0.15%,2
1,0.9934229616017023,0.906120880176804,0.9408360770228474,0.9231522271169846,0.0,0.1685214626391097,0.37992831541218636,0.23348017621145373,0.1164021164021164,0.36363636363636365,0.17635270541082163,0.2094240837696335,0.4444444444444444,0.2846975088967972,0.2222222222222222,0.4791666666666667,0.30363036303630364,0.14432989690721648,0.2608695652173913,0.18584070796460175,1,dacy_medium,Keyboard augmentation 0.15%,2
2,0.9936495718271914,0.8978869872836791,0.9369450264391899,0.9170002929401425,0.0,0.16505636070853463,0.3673835125448029,0.2277777777777778,0.1307901907356948,0.39669421487603307,0.19672131147540983,0.17149758454106281,0.39444444444444443,0.23905723905723905,0.22857142857142856,0.5,0.3137254901960784,0.15139442231075698,0.2360248447204969,0.18446601941747573,2,dacy_medium,Keyboard augmentation 0.15%,2
3,0.9932517111732383,0.8991669060614765,0.9368452559114038,0.9176194664321313,0.0,0.16735028712059064,0.3655913978494624,0.22960045019696115,0.10215053763440861,0.3140495867768595,0.15415821501014199,0.20512820512820512,0.4444444444444444,0.2807017543859649,0.20408163265306123,0.4166666666666667,0.273972602739726,0.17624521072796934,0.2857142857142857,0.21800947867298576,3,dacy_medium,Keyboard augmentation 0.15%,2
