,token_acc,token_p,token_r,token_f,pos_acc,ents_p,ents_r,ents_f,ents_per_type_PER_p,ents_per_type_PER_r,ents_per_type_PER_f,ents_per_type_MISC_p,ents_per_type_MISC_r,ents_per_type_MISC_f,ents_per_type_LOC_p,ents_per_type_LOC_r,ents_per_type_LOC_f,ents_per_type_ORG_p,ents_per_type_ORG_r,ents_per_type_ORG_f,k,model,augmenter,i
15,0.9972886369238354,0.9622418879056047,0.9763543849146962,0.9692467686822165,0.8407833756914337,0.6,0.5860215053763441,0.5929283771532186,0.6871794871794872,0.7444444444444445,0.7146666666666666,0.43609022556390975,0.4793388429752066,0.45669291338582674,0.5963302752293578,0.6770833333333334,0.6341463414634148,0.6481481481481481,0.43478260869565216,0.5204460966542751,15,spacy_medium,Keyboard augmentation 5%,1
16,0.9966816898618196,0.9657419291144239,0.9759553028035518,0.9708217546645495,0.8438342486270595,0.6441947565543071,0.6164874551971327,0.63003663003663,0.7329842931937173,0.7777777777777778,0.7547169811320754,0.5,0.5371900826446281,0.5179282868525896,0.6542056074766355,0.7291666666666666,0.689655172413793,0.6509433962264151,0.42857142857142855,0.5168539325842696,16,spacy_medium,Keyboard augmentation 5%,1
17,0.9975903614457832,0.9604591836734694,0.9766536964980544,0.9684887459807074,0.8417856965112228,0.5981981981981982,0.5949820788530465,0.5965858041329739,0.6923076923076923,0.8,0.7422680412371134,0.43703703703703706,0.48760330578512395,0.4609375,0.6310679611650486,0.6770833333333334,0.6532663316582915,0.5871559633027523,0.39751552795031053,0.4740740740740741,17,spacy_medium,Keyboard augmentation 5%,1
18,0.9976855271581229,0.9633487275228456,0.9781502544148458,0.9706930693069308,0.8460772600557547,0.6039783001808319,0.5985663082437276,0.6012601260126013,0.6862745098039216,0.7777777777777778,0.7291666666666667,0.4172661870503597,0.4793388429752066,0.4461538461538462,0.6407766990291263,0.6875,0.6633165829145728,0.6542056074766355,0.43478260869565216,0.5223880597014925,18,spacy_medium,Keyboard augmentation 5%,1
19,0.9973818109963938,0.9657075285770595,0.9777511723037015,0.9716920331168508,0.8442561674557688,0.5872727272727273,0.578853046594982,0.5830324909747293,0.69,0.7666666666666667,0.7263157894736842,0.4,0.4793388429752066,0.43609022556390975,0.6363636363636364,0.65625,0.6461538461538462,0.6037735849056604,0.39751552795031053,0.47940074906367036,19,spacy_medium,Keyboard augmentation 5%,1
0,0.9933717160965697,0.9050273959434778,0.9393395191060561,0.9218642906100069,0.661100342925302,0.39965095986038396,0.4103942652329749,0.40495137046861185,0.5459183673469388,0.5944444444444444,0.5691489361702129,0.2222222222222222,0.34710743801652894,0.27096774193548384,0.44594594594594594,0.34375,0.38823529411764707,0.41228070175438597,0.2919254658385093,0.34181818181818185,0,spacy_medium,Keyboard augmentation 15%,2
1,0.9930185203141665,0.905825710158883,0.9385413548837673,0.9218933751470011,0.660392391196096,0.3929824561403509,0.4014336917562724,0.3971631205673759,0.48756218905472637,0.5444444444444444,0.5144356955380577,0.1927710843373494,0.2644628099173554,0.22299651567944254,0.5421686746987951,0.46875,0.5027932960893854,0.4083333333333333,0.30434782608695654,0.3487544483985765,1,spacy_medium,Keyboard augmentation 15%,2
2,0.9933998169292287,0.8986311859864076,0.9366457148558316,0.9172447484123106,0.6665674012308914,0.38581314878892736,0.3996415770609319,0.392605633802817,0.5128205128205128,0.5555555555555556,0.5333333333333333,0.18421052631578946,0.2892561983471074,0.22508038585209003,0.5394736842105263,0.4270833333333333,0.47674418604651164,0.4017094017094017,0.2919254658385093,0.3381294964028777,2,spacy_medium,Keyboard augmentation 15%,2
3,0.9933359088275063,0.9026192075218268,0.9386411254115534,0.9202778049496235,0.6581498235323358,0.4,0.4121863799283154,0.4060017652250662,0.525,0.5833333333333334,0.5526315789473685,0.23076923076923078,0.34710743801652894,0.2772277227722772,0.5138888888888888,0.3854166666666667,0.44047619047619047,0.38016528925619836,0.2857142857142857,0.3262411347517731,3,spacy_medium,Keyboard augmentation 15%,2
4,0.9922623971969439,0.9073787908054858,0.9373441085503342,0.9221180742994552,0.6606483790523691,0.43986254295532645,0.45878136200716846,0.44912280701754387,0.5485436893203883,0.6277777777777778,0.5854922279792746,0.2543352601156069,0.36363636363636365,0.29931972789115646,0.5581395348837209,0.5,0.5274725274725274,0.4358974358974359,0.3167701863354037,0.3669064748201438,4,spacy_medium,Keyboard augmentation 15%,2
5,0.9926816265206223,0.9036759045419553,0.9369450264391899,0.9200097967180995,0.661582174368177,0.4030612244897959,0.42473118279569894,0.4136125654450262,0.5505050505050505,0.6055555555555555,0.5767195767195767,0.19895287958115182,0.3140495867768595,0.2435897435897436,0.5411764705882353,0.4791666666666667,0.5082872928176795,0.38596491228070173,0.2732919254658385,0.32,5,spacy_medium,Keyboard augmentation 15%,2
6,0.9928741092636578,0.9067192914901809,0.9397386012172004,0.9229337122140022,0.6599940244995519,0.375,0.3924731182795699,0.3835376532399299,0.43564356435643564,0.4888888888888889,0.4607329842931937,0.19387755102040816,0.3140495867768595,0.23974763406940067,0.5176470588235295,0.4583333333333333,0.4861878453038674,0.48514851485148514,0.30434782608695654,0.37404580152671757,6,spacy_medium,Keyboard augmentation 15%,2
7,0.9932840508286225,0.9033403724323287,0.9389404369949117,0.9207964385304045,0.6619928400954653,0.38617200674536256,0.4103942652329749,0.39791485664639437,0.4830917874396135,0.5555555555555556,0.516795865633075,0.19387755102040816,0.3140495867768595,0.23974763406940067,0.5,0.3645833333333333,0.42168674698795183,0.4666666666666667,0.34782608695652173,0.398576512455516,7,spacy_medium,Keyboard augmentation 15%,2
8,0.9926399380205306,0.9024226110363391,0.9365459443280455,0.9191676866585067,0.6565872581687969,0.3915966386554622,0.4175627240143369,0.404163052905464,0.49767441860465117,0.5944444444444444,0.5417721518987342,0.19148936170212766,0.2975206611570248,0.23300970873786409,0.5507246376811594,0.3958333333333333,0.46060606060606063,0.42276422764227645,0.32298136645962733,0.3661971830985916,8,spacy_medium,Keyboard augmentation 15%,2
