,wall_time,token_acc,token_p,token_r,token_f,pos_acc,tag_acc,ents_p,ents_r,ents_f,ents_per_type_PER_p,ents_per_type_PER_r,ents_per_type_PER_f,ents_per_type_MISC_p,ents_per_type_MISC_r,ents_per_type_MISC_f,ents_per_type_LOC_p,ents_per_type_LOC_r,ents_per_type_LOC_f,ents_per_type_ORG_p,ents_per_type_ORG_r,ents_per_type_ORG_f,ents_excl_MISC_ents_p,ents_excl_MISC_ents_r,ents_excl_MISC_ents_f,dep_uas,dep_las,dep_las_per_type_nummod_p,dep_las_per_type_nummod_r,dep_las_per_type_nummod_f,dep_las_per_type_amod_p,dep_las_per_type_amod_r,dep_las_per_type_amod_f,dep_las_per_type_nmod_p,dep_las_per_type_nmod_r,dep_las_per_type_nmod_f,dep_las_per_type_nsubj_p,dep_las_per_type_nsubj_r,dep_las_per_type_nsubj_f,dep_las_per_type_flat_p,dep_las_per_type_flat_r,dep_las_per_type_flat_f,dep_las_per_type_cc_p,dep_las_per_type_cc_r,dep_las_per_type_cc_f,dep_las_per_type_conj_p,dep_las_per_type_conj_r,dep_las_per_type_conj_f,dep_las_per_type_root_p,dep_las_per_type_root_r,dep_las_per_type_root_f,dep_las_per_type_advmod_p,dep_las_per_type_advmod_r,dep_las_per_type_advmod_f,dep_las_per_type_mark_p,dep_las_per_type_mark_r,dep_las_per_type_mark_f,dep_las_per_type_aux_p,dep_las_per_type_aux_r,dep_las_per_type_aux_f,dep_las_per_type_ccomp_p,dep_las_per_type_ccomp_r,dep_las_per_type_ccomp_f,dep_las_per_type_case_p,dep_las_per_type_case_r,dep_las_per_type_case_f,dep_las_per_type_det_p,dep_las_per_type_det_r,dep_las_per_type_det_f,dep_las_per_type_obl_p,dep_las_per_type_obl_r,dep_las_per_type_obl_f,dep_las_per_type_nmod:poss_p,dep_las_per_type_nmod:poss_r,dep_las_per_type_nmod:poss_f,dep_las_per_type_obj_p,dep_las_per_type_obj_r,dep_las_per_type_obj_f,dep_las_per_type_cop_p,dep_las_per_type_cop_r,dep_las_per_type_cop_f,dep_las_per_type_acl:relcl_p,dep_las_per_type_acl:relcl_r,dep_las_per_type_acl:relcl_f,dep_las_per_type_compound:prt_p,dep_las_per_type_compound:prt_r,dep_las_per_type_compound:prt_f,dep_las_per_type_advcl_p,dep_las_per_type_advcl_r,dep_las_per_type_advcl_f,dep_las_per_type_fixed_p,dep_las_per_type_fixed_r,dep_las_per_type_fixed_f,dep_las_per_type_iobj_p,dep_las_per_type_iobj_r,dep_las_per_type_iobj_f,dep_las_per_type_appos_p,dep_las_per_type_appos_r,dep_las_per_type_appos_f,dep_las_per_type_obl:tmod_p,dep_las_per_type_obl:tmod_r,dep_las_per_type_obl:tmod_f,dep_las_per_type_obl:loc_p,dep_las_per_type_obl:loc_r,dep_las_per_type_obl:loc_f,dep_las_per_type_dep_p,dep_las_per_type_dep_r,dep_las_per_type_dep_f,dep_las_per_type_xcomp_p,dep_las_per_type_xcomp_r,dep_las_per_type_xcomp_f,dep_las_per_type_expl_p,dep_las_per_type_expl_r,dep_las_per_type_expl_f,dep_las_per_type_list_p,dep_las_per_type_list_r,dep_las_per_type_list_f,dep_las_per_type_vocative_p,dep_las_per_type_vocative_r,dep_las_per_type_vocative_f,dep_las_per_type_discourse_p,dep_las_per_type_discourse_r,dep_las_per_type_discourse_f,dep_las_per_type_goeswith_p,dep_las_per_type_goeswith_r,dep_las_per_type_goeswith_f,k,model,augmenter,i
13,0.9447171688079834,0.9971374987661633,0.962992125984252,0.976154843859124,0.9695288113759105,0.8427089567125473,0.8427089567125473,0.6047794117647058,0.589605734767025,0.5970961887477314,0.6878048780487804,0.7833333333333333,0.7324675324675324,0.3873239436619718,0.45454545454545453,0.4182509505703422,0.6770833333333334,0.6770833333333334,0.6770833333333334,0.6732673267326733,0.422360248447205,0.5190839694656488,0.681592039800995,0.6270022883295194,0.6531585220500595,0.667477696674777,0.5921858744653797,0.5873015873015873,0.6491228070175439,0.6166666666666668,0.6234458259325044,0.6428571428571429,0.6330027051397656,0.384251968503937,0.5374449339207048,0.44811753902663,0.6322444678609063,0.6335797254487856,0.6329113924050633,0.6563876651982379,0.7925531914893617,0.7180722891566265,0.7316176470588235,0.6567656765676567,0.6921739130434782,0.44533333333333336,0.48405797101449277,0.4638888888888889,0.6020864381520119,0.7150442477876107,0.6537216828478964,0.5581761006289309,0.4916897506925208,0.5228276877761414,0.7698019801980198,0.6688172043010753,0.7157652474108169,0.8087649402390438,0.6246153846153846,0.704861111111111,0.4642857142857143,0.3291139240506329,0.3851851851851852,0.7852193995381063,0.7142857142857143,0.7480748074807481,0.7723404255319148,0.7318548387096774,0.7515527950310558,0.5467479674796748,0.432475884244373,0.48294434470377023,0.3216374269005848,0.5045871559633027,0.39285714285714285,0.517799352750809,0.6142034548944337,0.5618964003511853,0.6264367816091954,0.6193181818181818,0.6228571428571428,0.4634146341463415,0.41530054644808745,0.4380403458213257,0.17647058823529413,0.08823529411764706,0.11764705882352942,0.44155844155844154,0.3238095238095238,0.37362637362637363,0.8947368421052632,0.5396825396825397,0.6732673267326732,0.3076923076923077,0.26666666666666666,0.28571428571428575,0.22857142857142856,0.42105263157894735,0.2962962962962963,0.8,0.25,0.38095238095238093,0.631578947368421,0.47058823529411764,0.5393258426966293,0.04065040650406504,0.1724137931034483,0.06578947368421052,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.7631578947368421,0.7435897435897436,0.7532467532467534,0.06666666666666667,0.11764705882352941,0.0851063829787234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,spacy_medium,Keystroke errors 5%,2
14,0.9462997913360596,0.9966403162055335,0.9612960409690762,0.9738601217200439,0.9675372949397829,0.8392473923242002,0.8392473923242002,0.593128390596745,0.5878136200716846,0.5904590459045904,0.6954314720812182,0.7611111111111111,0.726790450928382,0.38666666666666666,0.4793388429752066,0.4280442804428044,0.6630434782608695,0.6354166666666666,0.6489361702127658,0.631578947368421,0.4472049689440994,0.5236363636363637,0.6699751861042184,0.6178489702517163,0.6428571428571429,0.6592120509849363,0.5822301867159951,0.6203703703703703,0.5877192982456141,0.6036036036036035,0.6238532110091743,0.6227106227106227,0.6232813932172319,0.39631336405529954,0.5682819383259912,0.4669683257918552,0.6368477103301384,0.6314677930306231,0.6341463414634148,0.6964285714285714,0.8297872340425532,0.7572815533980581,0.7436823104693141,0.6798679867986799,0.7103448275862069,0.38902743142144636,0.45217391304347826,0.4182305630026809,0.6261127596439169,0.7469026548672566,0.6811945117029863,0.5260586319218241,0.4473684210526316,0.4835329341317365,0.7704081632653061,0.6494623655913978,0.704784130688448,0.7269076305220884,0.556923076923077,0.6306620209059234,0.45714285714285713,0.4050632911392405,0.42953020134228187,0.7828571428571428,0.7195378151260504,0.749863163656267,0.7426778242677824,0.7157258064516129,0.7289527720739218,0.5587044534412956,0.4437299035369775,0.49462365591397844,0.26136363636363635,0.42201834862385323,0.32280701754385965,0.5145299145299145,0.5777351247600768,0.5443037974683544,0.622093023255814,0.6079545454545454,0.6149425287356322,0.46853146853146854,0.366120218579235,0.41104294478527614,0.2857142857142857,0.17647058823529413,0.21818181818181817,0.5189873417721519,0.3904761904761905,0.44565217391304346,0.8823529411764706,0.47619047619047616,0.6185567010309277,0.2777777777777778,0.3333333333333333,0.303030303030303,0.25,0.4473684210526316,0.32075471698113206,0.3333333333333333,0.0625,0.10526315789473684,0.4594594594594595,0.3333333333333333,0.38636363636363635,0.020689655172413793,0.10344827586206896,0.034482758620689655,0.2545454545454545,0.27450980392156865,0.2641509433962264,0.6,0.5384615384615384,0.5675675675675675,0.13043478260869565,0.17647058823529413,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,spacy_medium,Keystroke errors 5%,2
15,1.0648834705352783,0.9967274890916303,0.9675793219333795,0.9766536964980544,0.9720953326713009,0.8466533466533467,0.8466533466533467,0.6163873370577281,0.5931899641577061,0.604566210045662,0.7268041237113402,0.7833333333333333,0.7540106951871658,0.3986013986013986,0.47107438016528924,0.4318181818181819,0.6326530612244898,0.6458333333333334,0.6391752577319587,0.696078431372549,0.4409937888198758,0.5399239543726235,0.6954314720812182,0.6270022883295194,0.6594464500601684,0.6770621992927947,0.5971981011925438,0.6440677966101694,0.6666666666666666,0.6551724137931034,0.6230636833046471,0.663003663003663,0.642413487133984,0.3593519882179676,0.5374449339207048,0.4307149161518093,0.6433862433862434,0.6420274551214361,0.6427061310782242,0.7045454545454546,0.824468085106383,0.7598039215686274,0.7335766423357665,0.6633663366336634,0.6967071057192374,0.4595300261096606,0.5101449275362319,0.4835164835164836,0.6024279210925645,0.7026548672566372,0.6486928104575164,0.5774877650897227,0.4903047091412742,0.5303370786516853,0.8274111675126904,0.7010752688172043,0.7590221187427242,0.7848605577689243,0.6061538461538462,0.6840277777777778,0.5333333333333333,0.4050632911392405,0.46043165467625896,0.790341578327444,0.7048319327731093,0.745141588006663,0.7770700636942676,0.7379032258064516,0.7569803516028955,0.5560344827586207,0.41479099678456594,0.4751381215469614,0.32748538011695905,0.5137614678899083,0.39999999999999997,0.5491949910554562,0.5892514395393474,0.5685185185185185,0.6353591160220995,0.6534090909090909,0.6442577030812324,0.4319526627218935,0.3989071038251366,0.41477272727272724,0.21428571428571427,0.08823529411764706,0.125,0.5647058823529412,0.45714285714285713,0.5052631578947369,0.9545454545454546,0.6666666666666666,0.7850467289719627,0.2222222222222222,0.13333333333333333,0.16666666666666669,0.2222222222222222,0.47368421052631576,0.3025210084033613,0.75,0.1875,0.3,0.4888888888888889,0.43137254901960786,0.45833333333333326,0.035211267605633804,0.1724137931034483,0.058479532163742694,0.25925925925925924,0.27450980392156865,0.26666666666666666,0.7352941176470589,0.6410256410256411,0.6849315068493151,0.13333333333333333,0.11764705882352941,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,spacy_medium,Keystroke errors 5%,2
16,0.9420206546783447,0.9965812812763217,0.9660280466126803,0.9759553028035518,0.9709663010571244,0.8425838037667982,0.8425838037667982,0.5858407079646017,0.5931899641577061,0.5894924309884239,0.6958762886597938,0.75,0.7219251336898395,0.40131578947368424,0.5041322314049587,0.4468864468864469,0.6442307692307693,0.6979166666666666,0.67,0.591304347826087,0.422360248447205,0.4927536231884058,0.6537530266343826,0.6178489702517163,0.6352941176470588,0.6688289123132167,0.5955257529336957,0.6788990825688074,0.6491228070175439,0.6636771300448431,0.633276740237691,0.6831501831501832,0.6572687224669604,0.3646153846153846,0.5220264317180616,0.4293478260869565,0.6420704845814978,0.6156282998944034,0.6285714285714287,0.6755555555555556,0.8085106382978723,0.7360774818401937,0.7291666666666666,0.693069306930693,0.7106598984771573,0.4378238341968912,0.48985507246376814,0.46238030095759236,0.5849335302806499,0.7008849557522124,0.6376811594202899,0.5590551181102362,0.4916897506925208,0.5232129697862934,0.7885572139303483,0.6817204301075269,0.7312572087658592,0.8,0.5907692307692308,0.679646017699115,0.5185185185185185,0.35443037974683544,0.42105263157894735,0.799771167048055,0.7342436974789915,0.7656078860898139,0.7780126849894292,0.7419354838709677,0.759545923632611,0.5791666666666667,0.44694533762057875,0.5045372050816695,0.3050847457627119,0.4954128440366973,0.37762237762237766,0.527363184079602,0.6103646833013435,0.5658362989323843,0.6369047619047619,0.6079545454545454,0.622093023255814,0.45695364238410596,0.3770491803278688,0.41317365269461076,0.375,0.17647058823529413,0.24,0.5121951219512195,0.4,0.44919786096256686,0.9069767441860465,0.6190476190476191,0.7358490566037736,0.36363636363636365,0.26666666666666666,0.30769230769230765,0.2328767123287671,0.4473684210526316,0.3063063063063063,0.4,0.125,0.19047619047619047,0.5,0.4117647058823529,0.45161290322580644,0.046153846153846156,0.20689655172413793,0.07547169811320754,0.2558139534883721,0.21568627450980393,0.23404255319148937,0.7666666666666667,0.5897435897435898,0.6666666666666667,0.043478260869565216,0.058823529411764705,0.049999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,spacy_medium,Keystroke errors 5%,2
17,0.9474287033081055,0.997475622432312,0.9692900167868076,0.9793475007482789,0.9742928039702233,0.8462152189089458,0.8462152189089458,0.6343283582089553,0.6093189964157706,0.6215722120658136,0.71,0.7888888888888889,0.7473684210526317,0.45652173913043476,0.5206611570247934,0.4864864864864865,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.696078431372549,0.4409937888198758,0.5399239543726235,0.6959798994974874,0.6338672768878718,0.6634730538922154,0.6695288930146205,0.596420089208133,0.6036036036036037,0.5877192982456141,0.5955555555555556,0.607773851590106,0.63003663003663,0.6187050359712231,0.37009063444108764,0.539647577092511,0.439068100358423,0.6447793326157158,0.6325237592397043,0.6385927505330491,0.6848739495798319,0.8670212765957447,0.7652582159624413,0.7463235294117647,0.66996699669967,0.7060869565217391,0.45257452574525747,0.48405797101449277,0.46778711484593843,0.6286149162861492,0.7309734513274336,0.6759410801963994,0.5547112462006079,0.5055401662049861,0.5289855072463767,0.8213333333333334,0.6623655913978495,0.7333333333333334,0.8154506437768241,0.5846153846153846,0.6810035842293907,0.5238095238095238,0.4177215189873418,0.4647887323943662,0.7766439909297053,0.7195378151260504,0.7470010905125409,0.7770562770562771,0.7237903225806451,0.7494780793319415,0.5866935483870968,0.4678456591639871,0.5205724508050089,0.35428571428571426,0.5688073394495413,0.4366197183098592,0.5081967213114754,0.5950095969289827,0.5481874447391689,0.5989583333333334,0.6534090909090909,0.625,0.45962732919254656,0.40437158469945356,0.43023255813953487,0.2857142857142857,0.11764705882352941,0.16666666666666666,0.5,0.3523809523809524,0.4134078212290503,0.8421052631578947,0.5079365079365079,0.6336633663366337,0.2,0.13333333333333333,0.16,0.2857142857142857,0.47368421052631576,0.3564356435643564,0.5,0.25,0.3333333333333333,0.5128205128205128,0.39215686274509803,0.4444444444444445,0.03007518796992481,0.13793103448275862,0.04938271604938271,0.3,0.23529411764705882,0.26373626373626374,0.6060606060606061,0.5128205128205128,0.5555555555555556,0.1111111111111111,0.11764705882352941,0.11428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,spacy_medium,Keystroke errors 5%,2
18,0.9406754970550537,0.9968351300563743,0.9638174110223799,0.9753566796368353,0.9695527124863631,0.8486602464946857,0.8486602464946857,0.6273408239700374,0.600358422939068,0.6135531135531135,0.7346938775510204,0.8,0.7659574468085106,0.4351145038167939,0.47107438016528924,0.45238095238095244,0.6470588235294118,0.6875,0.6666666666666667,0.6476190476190476,0.422360248447205,0.5112781954887219,0.6898263027295285,0.6361556064073226,0.6619047619047618,0.6735793315182761,0.6010872079574369,0.6363636363636364,0.6754385964912281,0.6553191489361703,0.6233552631578947,0.6941391941391941,0.6568457538994801,0.41300813008130083,0.5594713656387665,0.4752104770813845,0.6580645161290323,0.6462513199577613,0.6521044219499201,0.7104072398190046,0.8351063829787234,0.7677261613691932,0.6981818181818182,0.6336633663366337,0.6643598615916955,0.4072289156626506,0.48985507246376814,0.4447368421052632,0.6433990895295902,0.7504424778761062,0.6928104575163399,0.5478119935170178,0.46814404432132967,0.5048543689320389,0.7906976744186046,0.6580645161290323,0.7183098591549296,0.8104838709677419,0.6184615384615385,0.7015706806282722,0.5849056603773585,0.3924050632911392,0.46969696969696967,0.7972027972027972,0.7184873949579832,0.7558011049723757,0.7838983050847458,0.7459677419354839,0.7644628099173554,0.5681818181818182,0.44212218649517687,0.4972875226039783,0.325,0.47706422018348627,0.38661710037174724,0.49615975422427033,0.6199616122840691,0.5511945392491467,0.6104651162790697,0.5965909090909091,0.6034482758620691,0.4452054794520548,0.3551912568306011,0.3951367781155016,0.3888888888888889,0.20588235294117646,0.2692307692307692,0.49411764705882355,0.4,0.4421052631578947,0.8297872340425532,0.6190476190476191,0.7090909090909091,0.3076923076923077,0.26666666666666666,0.28571428571428575,0.3,0.47368421052631576,0.3673469387755102,0.3333333333333333,0.0625,0.10526315789473684,0.6666666666666666,0.43137254901960786,0.5238095238095237,0.03816793893129771,0.1724137931034483,0.0625,0.3148148148148148,0.3333333333333333,0.32380952380952377,0.7297297297297297,0.6923076923076923,0.7105263157894737,0.047619047619047616,0.058823529411764705,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,spacy_medium,Keystroke errors 5%,2
19,1.0525121688842773,0.9973412112259971,0.961009624828128,0.9762546143869101,0.9685721356099974,0.8500971454192199,0.8500971454192199,0.6061705989110708,0.5985663082437276,0.6023444544634806,0.67,0.7444444444444445,0.7052631578947369,0.45,0.5206611570247934,0.48275862068965525,0.6078431372549019,0.6458333333333334,0.6262626262626263,0.6880733944954128,0.4658385093167702,0.5555555555555556,0.6593673965936739,0.620137299771167,0.6391509433962264,0.6796431467964315,0.6057909033115646,0.6574074074074074,0.6228070175438597,0.6396396396396398,0.6385542168674698,0.6794871794871795,0.6583850931677019,0.3717357910906298,0.5330396475770925,0.4380090497737557,0.6538461538461539,0.6462513199577613,0.6500265533722782,0.6583333333333333,0.8404255319148937,0.7383177570093459,0.696113074204947,0.6501650165016502,0.6723549488054607,0.43333333333333335,0.48985507246376814,0.4598639455782313,0.6403641881638846,0.7469026548672566,0.6895424836601307,0.5587761674718197,0.4806094182825485,0.5167535368577811,0.8129675810473815,0.7010752688172043,0.7528868360277137,0.7769230769230769,0.6215384615384615,0.6905982905982906,0.5245901639344263,0.4050632911392405,0.45714285714285713,0.7832957110609481,0.7289915966386554,0.7551686615886833,0.7782426778242678,0.75,0.7638603696098561,0.5705765407554672,0.46141479099678456,0.5102222222222221,0.34615384615384615,0.4954128440366973,0.4075471698113208,0.522508038585209,0.6238003838771593,0.568678915135608,0.650887573964497,0.625,0.6376811594202899,0.475,0.41530054644808745,0.44314868804664725,0.5333333333333333,0.23529411764705882,0.326530612244898,0.5128205128205128,0.38095238095238093,0.4371584699453552,0.9487179487179487,0.5873015873015873,0.7254901960784315,0.17647058823529413,0.2,0.18750000000000003,0.3157894736842105,0.47368421052631576,0.3789473684210526,0.5,0.125,0.2,0.5952380952380952,0.49019607843137253,0.5376344086021505,0.030534351145038167,0.13793103448275862,0.05,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.8,0.5128205128205128,0.625,0.09523809523809523,0.11764705882352941,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,spacy_medium,Keystroke errors 5%,2
0,1.2274715900421143,0.9936023858771466,0.8981932893604818,0.9374438790781203,0.9173989455184535,0.6678573200377039,0.6678573200377039,0.39750445632798576,0.3996415770609319,0.3985701519213584,0.4719626168224299,0.5611111111111111,0.5126903553299493,0.2222222222222222,0.2809917355371901,0.2481751824817518,0.5,0.3645833333333333,0.42168674698795183,0.4274193548387097,0.32919254658385094,0.3719298245614035,0.4632352941176471,0.43249427917620137,0.4473372781065089,0.4574938292864933,0.3550133956563871,0.4148148148148148,0.49122807017543857,0.4497991967871486,0.34801762114537443,0.4340659340659341,0.38630806845965765,0.17025862068965517,0.34801762114537443,0.2286541244573082,0.3945818610129564,0.35374868004223864,0.3730512249443207,0.42138364779874216,0.7127659574468085,0.5296442687747036,0.5358649789029536,0.41914191419141916,0.4703703703703704,0.20112781954887218,0.3101449275362319,0.24401368301026227,0.370712401055409,0.49734513274336284,0.42479213907785335,0.3443579766536965,0.2451523545706371,0.2864077669902913,0.6423611111111112,0.3978494623655914,0.4913678618857901,0.5422535211267606,0.23692307692307693,0.32976445396145615,0.1935483870967742,0.0759493670886076,0.10909090909090909,0.6502115655853314,0.4842436974789916,0.5550872968091511,0.6025316455696202,0.4798387096774194,0.5342312008978676,0.3976945244956772,0.22186495176848875,0.2848297213622291,0.1254125412541254,0.3486238532110092,0.18446601941747573,0.2916030534351145,0.3666026871401152,0.3248299319727891,0.4925373134328358,0.375,0.42580645161290326,0.25555555555555554,0.12568306010928962,0.16849816849816848,0.1111111111111111,0.029411764705882353,0.04651162790697674,0.34545454545454546,0.18095238095238095,0.23750000000000002,0.7619047619047619,0.25396825396825395,0.38095238095238093,0.1,0.06666666666666667,0.08,0.08917197452229299,0.3684210526315789,0.14358974358974358,0.3333333333333333,0.0625,0.10526315789473684,0.3157894736842105,0.11764705882352941,0.17142857142857143,0.004098360655737705,0.034482758620689655,0.007326007326007328,0.08888888888888889,0.0784313725490196,0.08333333333333333,0.5769230769230769,0.38461538461538464,0.46153846153846156,0.014084507042253521,0.058823529411764705,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,spacy_medium,Keystroke errors 15%,3
1,1.0981240272521973,0.9928357052957693,0.9022397385369605,0.9364461738002594,0.919024772348967,0.656060455404196,0.656060455404196,0.3775167785234899,0.4032258064516129,0.38994800693240894,0.4834123222748815,0.5666666666666667,0.5217391304347826,0.1796116504854369,0.30578512396694213,0.2262996941896024,0.6,0.4375,0.5060240963855421,0.4036697247706422,0.2732919254658385,0.3259259259259259,0.48205128205128206,0.4302059496567506,0.45465538089480045,0.4443806681207668,0.34410320812878187,0.4065040650406504,0.43859649122807015,0.42194092827004215,0.31386861313868614,0.39377289377289376,0.34930950446791226,0.18446601941747573,0.3766519823788546,0.24764663287472846,0.38461538461538464,0.337909186906019,0.35975267003934797,0.36950146627565983,0.6702127659574468,0.4763705103969755,0.589041095890411,0.42574257425742573,0.49425287356321834,0.17712177121771217,0.2782608695652174,0.21645997745208567,0.3741851368970013,0.5079646017699115,0.43093093093093093,0.36231884057971014,0.24238227146814403,0.2904564315352697,0.6,0.3419354838709677,0.43561643835616437,0.6187050359712231,0.26461538461538464,0.37068965517241387,0.29411764705882354,0.12658227848101267,0.1769911504424779,0.6442166910688141,0.46218487394957986,0.5382262996941897,0.5959595959595959,0.47580645161290325,0.5291479820627804,0.3993808049535604,0.20739549839228297,0.27301587301587305,0.09174311926605505,0.27522935779816515,0.13761467889908258,0.27340267459138184,0.3531669865642994,0.3082077051926298,0.4765625,0.3465909090909091,0.40131578947368424,0.2553191489361702,0.13114754098360656,0.1732851985559567,0.14285714285714285,0.029411764705882353,0.04878048780487805,0.2909090909090909,0.1523809523809524,0.2,0.6216216216216216,0.36507936507936506,0.46,0.2,0.13333333333333333,0.16,0.056338028169014086,0.21052631578947367,0.08888888888888889,0.42857142857142855,0.1875,0.26086956521739124,0.5217391304347826,0.23529411764705882,0.32432432432432434,0.004149377593360996,0.034482758620689655,0.007407407407407408,0.07017543859649122,0.0784313725490196,0.07407407407407407,0.5,0.38461538461538464,0.4347826086956522,0.017241379310344827,0.058823529411764705,0.02666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,spacy_medium,Keystroke errors 15%,3
2,1.1995832920074463,0.9931887348437274,0.903176278668074,0.9390402075226978,0.9207591469379769,0.6620956923535549,0.6620956923535549,0.37521815008726006,0.38530465949820786,0.3801945181255526,0.5161290322580645,0.6222222222222222,0.5642317380352645,0.1744186046511628,0.24793388429752067,0.204778156996587,0.45121951219512196,0.3854166666666667,0.4157303370786517,0.35294117647058826,0.2236024844720497,0.27376425855513303,0.4613466334164589,0.4233409610983982,0.441527446300716,0.46941122355105797,0.3664017382354623,0.44029850746268656,0.5175438596491229,0.4758064516129032,0.3867924528301887,0.45054945054945056,0.4162436548223351,0.17559863169897377,0.3392070484581498,0.23140495867768596,0.4066437571592211,0.37486800422386485,0.39010989010989006,0.417910447761194,0.7446808510638298,0.5353728489483747,0.6018099547511312,0.4389438943894389,0.5076335877862596,0.1980952380952381,0.30144927536231886,0.23908045977011497,0.4076163610719323,0.511504424778761,0.4536891679748822,0.3448979591836735,0.23407202216066483,0.2788778877887789,0.6666666666666666,0.4,0.5,0.6405228758169934,0.30153846153846153,0.4100418410041841,0.3333333333333333,0.17721518987341772,0.23140495867768596,0.6818181818181818,0.5199579831932774,0.5899880810488677,0.5847665847665847,0.4798387096774194,0.5271317829457364,0.39892183288409705,0.2379421221864952,0.298086606243706,0.12585034013605442,0.3394495412844037,0.18362282878411912,0.27217125382262997,0.3416506717850288,0.30297872340425536,0.49295774647887325,0.3977272727272727,0.44025157232704404,0.25806451612903225,0.13114754098360656,0.17391304347826086,0.07142857142857142,0.029411764705882353,0.041666666666666664,0.3,0.11428571428571428,0.16551724137931034,0.75,0.2857142857142857,0.4137931034482759,0.0,0.0,0.0,0.06962025316455696,0.2894736842105263,0.11224489795918367,0.25,0.0625,0.1,0.5454545454545454,0.23529411764705882,0.3287671232876712,0.0,0.0,0.0,0.05,0.058823529411764705,0.05405405405405405,0.5294117647058824,0.23076923076923078,0.32142857142857145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,spacy_medium,Keystroke errors 15%,3
