,wall_time,token_acc,token_p,token_r,token_f,pos_acc,tag_acc,ents_p,ents_r,ents_f,ents_per_type_PER_p,ents_per_type_PER_r,ents_per_type_PER_f,ents_per_type_MISC_p,ents_per_type_MISC_r,ents_per_type_MISC_f,ents_per_type_LOC_p,ents_per_type_LOC_r,ents_per_type_LOC_f,ents_per_type_ORG_p,ents_per_type_ORG_r,ents_per_type_ORG_f,ents_excl_MISC_ents_p,ents_excl_MISC_ents_r,ents_excl_MISC_ents_f,dep_uas,dep_las,dep_las_per_type_nummod_p,dep_las_per_type_nummod_r,dep_las_per_type_nummod_f,dep_las_per_type_amod_p,dep_las_per_type_amod_r,dep_las_per_type_amod_f,dep_las_per_type_nmod_p,dep_las_per_type_nmod_r,dep_las_per_type_nmod_f,dep_las_per_type_nsubj_p,dep_las_per_type_nsubj_r,dep_las_per_type_nsubj_f,dep_las_per_type_flat_p,dep_las_per_type_flat_r,dep_las_per_type_flat_f,dep_las_per_type_cc_p,dep_las_per_type_cc_r,dep_las_per_type_cc_f,dep_las_per_type_conj_p,dep_las_per_type_conj_r,dep_las_per_type_conj_f,dep_las_per_type_root_p,dep_las_per_type_root_r,dep_las_per_type_root_f,dep_las_per_type_advmod_p,dep_las_per_type_advmod_r,dep_las_per_type_advmod_f,dep_las_per_type_mark_p,dep_las_per_type_mark_r,dep_las_per_type_mark_f,dep_las_per_type_aux_p,dep_las_per_type_aux_r,dep_las_per_type_aux_f,dep_las_per_type_ccomp_p,dep_las_per_type_ccomp_r,dep_las_per_type_ccomp_f,dep_las_per_type_case_p,dep_las_per_type_case_r,dep_las_per_type_case_f,dep_las_per_type_det_p,dep_las_per_type_det_r,dep_las_per_type_det_f,dep_las_per_type_obl_p,dep_las_per_type_obl_r,dep_las_per_type_obl_f,dep_las_per_type_nmod:poss_p,dep_las_per_type_nmod:poss_r,dep_las_per_type_nmod:poss_f,dep_las_per_type_obj_p,dep_las_per_type_obj_r,dep_las_per_type_obj_f,dep_las_per_type_cop_p,dep_las_per_type_cop_r,dep_las_per_type_cop_f,dep_las_per_type_acl:relcl_p,dep_las_per_type_acl:relcl_r,dep_las_per_type_acl:relcl_f,dep_las_per_type_dep_p,dep_las_per_type_dep_r,dep_las_per_type_dep_f,dep_las_per_type_compound:prt_p,dep_las_per_type_compound:prt_r,dep_las_per_type_compound:prt_f,dep_las_per_type_advcl_p,dep_las_per_type_advcl_r,dep_las_per_type_advcl_f,dep_las_per_type_fixed_p,dep_las_per_type_fixed_r,dep_las_per_type_fixed_f,dep_las_per_type_iobj_p,dep_las_per_type_iobj_r,dep_las_per_type_iobj_f,dep_las_per_type_appos_p,dep_las_per_type_appos_r,dep_las_per_type_appos_f,dep_las_per_type_obl:tmod_p,dep_las_per_type_obl:tmod_r,dep_las_per_type_obl:tmod_f,dep_las_per_type_xcomp_p,dep_las_per_type_xcomp_r,dep_las_per_type_xcomp_f,dep_las_per_type_obl:loc_p,dep_las_per_type_obl:loc_r,dep_las_per_type_obl:loc_f,dep_las_per_type_advmod:lmod_p,dep_las_per_type_advmod:lmod_r,dep_las_per_type_advmod:lmod_f,dep_las_per_type_expl_p,dep_las_per_type_expl_r,dep_las_per_type_expl_f,dep_las_per_type_list_p,dep_las_per_type_list_r,dep_las_per_type_list_f,dep_las_per_type_obl:lmod_p,dep_las_per_type_obl:lmod_r,dep_las_per_type_obl:lmod_f,dep_las_per_type_vocative_p,dep_las_per_type_vocative_r,dep_las_per_type_vocative_f,dep_las_per_type_discourse_p,dep_las_per_type_discourse_r,dep_las_per_type_discourse_f,dep_las_per_type_goeswith_p,dep_las_per_type_goeswith_r,dep_las_per_type_goeswith_f,k,model,augmenter,i
17,30.559292554855347,0.998198919351611,0.9918098282061526,0.9907213409158935,0.9912652857499377,0.948994899489949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8382173026507429,0.7925671346187452,0.7363636363636363,0.7105263157894737,0.7232142857142857,0.8105646630236795,0.815018315018315,0.8127853881278538,0.6434426229508197,0.6916299559471366,0.6666666666666667,0.8485804416403786,0.8521647307286166,0.8503688092729189,0.859375,0.8776595744680851,0.868421052631579,0.865979381443299,0.8316831683168316,0.8484848484848486,0.7529761904761905,0.7333333333333333,0.7430249632892805,0.8291457286432161,0.8761061946902655,0.8519793459552495,0.713490959666203,0.7105263157894737,0.7120055517002082,0.9325581395348838,0.8623655913978494,0.8960893854748603,0.8981481481481481,0.8953846153846153,0.896764252696456,0.7640449438202247,0.8607594936708861,0.8095238095238095,0.8945686900958466,0.8823529411764706,0.8884188260179798,0.9122448979591836,0.9012096774193549,0.9066937119675457,0.735593220338983,0.6977491961414791,0.7161716171617161,0.7168141592920354,0.7431192660550459,0.7297297297297297,0.7996289424860853,0.8272552783109405,0.8132075471698113,0.7987804878048781,0.7443181818181818,0.7705882352941177,0.6878612716763006,0.6502732240437158,0.6685393258426967,0.3684210526315789,0.4827586206896552,0.417910447761194,0.5652173913043478,0.38235294117647056,0.45614035087719296,0.6979166666666666,0.638095238095238,0.6666666666666666,1.0,0.6825396825396826,0.8113207547169812,0.6363636363636364,0.4666666666666667,0.5384615384615385,0.5531914893617021,0.6842105263157895,0.611764705882353,1.0,0.3125,0.47619047619047616,0.5102040816326531,0.49019607843137253,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9428571428571428,0.8461538461538461,0.8918918918918919,0.05555555555555555,0.058823529411764705,0.05714285714285714,0.0,0.0,0.0,1.0,0.25,0.4,0.0,0.0,0.0,0.0,0.0,0.0,17,stanza,Keystroke errors 2%,1
18,30.359628915786743,0.9987003898830351,0.9940095846645367,0.9933153746383319,0.9936623584011178,0.9458270864567716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8328674586536221,0.7863048794689645,0.7857142857142857,0.7719298245614035,0.7787610619469025,0.8212996389891697,0.8333333333333334,0.8272727272727273,0.6091269841269841,0.6762114537444934,0.6409185803757829,0.8469713071200851,0.8416050686378036,0.8442796610169492,0.8088235294117647,0.8776595744680851,0.8418367346938775,0.8576271186440678,0.834983498349835,0.8461538461538461,0.7309941520467836,0.7246376811594203,0.727802037845706,0.826955074875208,0.879646017699115,0.8524871355060034,0.720112517580872,0.7091412742382271,0.7145847871598046,0.9327146171693735,0.864516129032258,0.8973214285714286,0.8885350318471338,0.8584615384615385,0.8732394366197183,0.7692307692307693,0.8860759493670886,0.8235294117647058,0.8900747065101388,0.8760504201680672,0.8830068819481207,0.8950617283950617,0.8770161290322581,0.8859470468431773,0.7160278745644599,0.6607717041800643,0.6872909698996655,0.6532258064516129,0.7431192660550459,0.6952789699570816,0.7967032967032966,0.8349328214971209,0.8153701968134958,0.8106508875739645,0.7784090909090909,0.7942028985507247,0.6923076923076923,0.639344262295082,0.6647727272727273,0.4,0.4827586206896552,0.43750000000000006,0.5652173913043478,0.38235294117647056,0.45614035087719296,0.68,0.6476190476190476,0.6634146341463415,0.9555555555555556,0.6825396825396826,0.7962962962962964,0.5714285714285714,0.5333333333333333,0.5517241379310344,0.4666666666666667,0.5526315789473685,0.5060240963855421,0.75,0.1875,0.3,0.5555555555555556,0.49019607843137253,0.5208333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.7692307692307693,0.8,0.13333333333333333,0.11764705882352941,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,stanza,Keystroke errors 2%,1
19,30.54389500617981,0.9981005698290513,0.9897226102574337,0.9896238651102465,0.9896732352207533,0.9484628842789302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8339350180505416,0.7910578098620249,0.7570093457943925,0.7105263157894737,0.7330316742081447,0.8202247191011236,0.8021978021978022,0.8111111111111112,0.6502057613168725,0.6960352422907489,0.6723404255319149,0.8646055437100213,0.856388595564942,0.8604774535809019,0.8260869565217391,0.9095744680851063,0.8658227848101265,0.8724137931034482,0.834983498349835,0.8532883642495784,0.736231884057971,0.736231884057971,0.736231884057971,0.839527027027027,0.879646017699115,0.8591184096802074,0.7144808743169399,0.724376731301939,0.71939477303989,0.9183673469387755,0.8709677419354839,0.8940397350993378,0.8773006134969326,0.88,0.8786482334869432,0.7558139534883721,0.8227848101265823,0.787878787878788,0.8848614072494669,0.8718487394957983,0.8783068783068783,0.8967611336032388,0.8931451612903226,0.8949494949494949,0.7217537942664418,0.6881028938906752,0.7045267489711934,0.652542372881356,0.7064220183486238,0.6784140969162995,0.8019047619047619,0.8080614203454894,0.8049713193116634,0.8271604938271605,0.7613636363636364,0.7928994082840236,0.73125,0.639344262295082,0.6822157434402333,0.41025641025641024,0.5517241379310345,0.47058823529411764,0.6363636363636364,0.4117647058823529,0.5,0.6857142857142857,0.6857142857142857,0.6857142857142857,0.9782608695652174,0.7142857142857143,0.8256880733944955,0.6153846153846154,0.5333333333333333,0.5714285714285715,0.5111111111111111,0.6052631578947368,0.5542168674698796,0.75,0.1875,0.3,0.6170212765957447,0.5686274509803921,0.5918367346938775,0.0,0.0,0.0,0.0,0.0,0.0,0.9142857142857143,0.8205128205128205,0.8648648648648648,0.15384615384615385,0.11764705882352941,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,stanza,Keystroke errors 2%,1
0,31.086151123046875,0.9968987595038015,0.981749276952229,0.9821410755262895,0.9819451371571073,0.9051146031428285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7754555510275368,0.7168800931315482,0.6581196581196581,0.6754385964912281,0.6666666666666666,0.7554744525547445,0.7582417582417582,0.7568555758683729,0.5411764705882353,0.6079295154185022,0.5726141078838174,0.7961783439490446,0.791974656810982,0.7940709370037057,0.683982683982684,0.8404255319148937,0.7541766109785203,0.8226950354609929,0.7656765676567657,0.7931623931623931,0.6449704142011834,0.6318840579710145,0.6383601756954612,0.7936241610738255,0.8371681415929203,0.8148148148148147,0.6370157819225251,0.6149584487534626,0.6257928118393234,0.9048780487804878,0.7978494623655914,0.848,0.8240740740740741,0.8215384615384616,0.8228043143297382,0.6666666666666666,0.759493670886076,0.7100591715976332,0.8316610925306578,0.7836134453781513,0.8069226608977826,0.8593073593073594,0.8004032258064516,0.8288100208768268,0.6575342465753424,0.617363344051447,0.6368159203980099,0.5859375,0.6880733944954128,0.6329113924050632,0.6776429809358753,0.7504798464491362,0.7122040072859745,0.8169014084507042,0.6590909090909091,0.729559748427673,0.6538461538461539,0.5573770491803278,0.6017699115044247,0.34146341463414637,0.4827586206896552,0.4000000000000001,0.4444444444444444,0.23529411764705882,0.30769230769230765,0.6304347826086957,0.5523809523809524,0.5888324873096448,0.9791666666666666,0.746031746031746,0.846846846846847,0.5833333333333334,0.4666666666666667,0.5185185185185186,0.35185185185185186,0.5,0.41304347826086957,0.75,0.1875,0.3,0.45454545454545453,0.49019607843137253,0.4716981132075472,0.0,0.0,0.0,0.0,0.0,0.0,0.8846153846153846,0.5897435897435898,0.7076923076923076,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.0,0.0,0.0,1.0,0.25,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0,stanza,Keystroke errors 5%,2
1,31.135730504989624,0.9973994798959792,0.9852354349561053,0.9853337324154445,0.9852845812340999,0.9035969783380859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7763295705807052,0.7162720344406307,0.7130434782608696,0.7192982456140351,0.7161572052401747,0.7406749555950266,0.7637362637362637,0.7520288548241659,0.5512572533849129,0.6277533039647577,0.5870236869207002,0.7864693446088795,0.7856388595564942,0.7860538827258321,0.7081545064377682,0.8776595744680851,0.7838479809976248,0.8571428571428571,0.7722772277227723,0.8125,0.6536144578313253,0.6289855072463768,0.6410635155096013,0.782392026578073,0.8336283185840708,0.8071979434447301,0.6461748633879781,0.6551246537396122,0.6506189821182944,0.8201970443349754,0.7161290322580646,0.764638346727899,0.8431372549019608,0.7938461538461539,0.8177496038034865,0.6666666666666666,0.6835443037974683,0.675,0.8477777777777777,0.8014705882352942,0.8239740820734341,0.8636363636363636,0.8044354838709677,0.8329853862212944,0.6411149825783972,0.5916398713826366,0.6153846153846154,0.5873015873015873,0.6788990825688074,0.6297872340425532,0.6737588652482269,0.7293666026871402,0.7004608294930876,0.7440476190476191,0.7102272727272727,0.7267441860465116,0.6538461538461539,0.5573770491803278,0.6017699115044247,0.34146341463414637,0.4827586206896552,0.4000000000000001,0.5652173913043478,0.38235294117647056,0.45614035087719296,0.5631067961165048,0.5523809523809524,0.5576923076923077,0.8913043478260869,0.6507936507936508,0.7522935779816514,0.47058823529411764,0.5333333333333333,0.5,0.3958333333333333,0.5,0.4418604651162791,0.5,0.1875,0.2727272727272727,0.46153846153846156,0.47058823529411764,0.46601941747572817,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.7692307692307693,0.8108108108108107,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,stanza,Keystroke errors 5%,2
