,wall_time,token_acc,token_p,token_r,token_f,pos_acc,tag_acc,ents_p,ents_r,ents_f,ents_per_type_PER_p,ents_per_type_PER_r,ents_per_type_PER_f,ents_per_type_MISC_p,ents_per_type_MISC_r,ents_per_type_MISC_f,ents_per_type_LOC_p,ents_per_type_LOC_r,ents_per_type_LOC_f,ents_per_type_ORG_p,ents_per_type_ORG_r,ents_per_type_ORG_f,ents_excl_MISC_ents_p,ents_excl_MISC_ents_r,ents_excl_MISC_ents_f,dep_uas,dep_las,dep_las_per_type_nummod_p,dep_las_per_type_nummod_r,dep_las_per_type_nummod_f,dep_las_per_type_amod_p,dep_las_per_type_amod_r,dep_las_per_type_amod_f,dep_las_per_type_nmod_p,dep_las_per_type_nmod_r,dep_las_per_type_nmod_f,dep_las_per_type_nsubj_p,dep_las_per_type_nsubj_r,dep_las_per_type_nsubj_f,dep_las_per_type_flat_p,dep_las_per_type_flat_r,dep_las_per_type_flat_f,dep_las_per_type_cc_p,dep_las_per_type_cc_r,dep_las_per_type_cc_f,dep_las_per_type_conj_p,dep_las_per_type_conj_r,dep_las_per_type_conj_f,dep_las_per_type_root_p,dep_las_per_type_root_r,dep_las_per_type_root_f,dep_las_per_type_advmod_p,dep_las_per_type_advmod_r,dep_las_per_type_advmod_f,dep_las_per_type_mark_p,dep_las_per_type_mark_r,dep_las_per_type_mark_f,dep_las_per_type_aux_p,dep_las_per_type_aux_r,dep_las_per_type_aux_f,dep_las_per_type_ccomp_p,dep_las_per_type_ccomp_r,dep_las_per_type_ccomp_f,dep_las_per_type_case_p,dep_las_per_type_case_r,dep_las_per_type_case_f,dep_las_per_type_det_p,dep_las_per_type_det_r,dep_las_per_type_det_f,dep_las_per_type_obl_p,dep_las_per_type_obl_r,dep_las_per_type_obl_f,dep_las_per_type_nmod:poss_p,dep_las_per_type_nmod:poss_r,dep_las_per_type_nmod:poss_f,dep_las_per_type_obj_p,dep_las_per_type_obj_r,dep_las_per_type_obj_f,dep_las_per_type_cop_p,dep_las_per_type_cop_r,dep_las_per_type_cop_f,dep_las_per_type_acl:relcl_p,dep_las_per_type_acl:relcl_r,dep_las_per_type_acl:relcl_f,dep_las_per_type_dep_p,dep_las_per_type_dep_r,dep_las_per_type_dep_f,dep_las_per_type_compound:prt_p,dep_las_per_type_compound:prt_r,dep_las_per_type_compound:prt_f,dep_las_per_type_advcl_p,dep_las_per_type_advcl_r,dep_las_per_type_advcl_f,dep_las_per_type_fixed_p,dep_las_per_type_fixed_r,dep_las_per_type_fixed_f,dep_las_per_type_iobj_p,dep_las_per_type_iobj_r,dep_las_per_type_iobj_f,dep_las_per_type_appos_p,dep_las_per_type_appos_r,dep_las_per_type_appos_f,dep_las_per_type_obl:tmod_p,dep_las_per_type_obl:tmod_r,dep_las_per_type_obl:tmod_f,dep_las_per_type_xcomp_p,dep_las_per_type_xcomp_r,dep_las_per_type_xcomp_f,dep_las_per_type_obl:loc_p,dep_las_per_type_obl:loc_r,dep_las_per_type_obl:loc_f,dep_las_per_type_expl_p,dep_las_per_type_expl_r,dep_las_per_type_expl_f,dep_las_per_type_list_p,dep_las_per_type_list_r,dep_las_per_type_list_f,dep_las_per_type_vocative_p,dep_las_per_type_vocative_r,dep_las_per_type_vocative_f,dep_las_per_type_discourse_p,dep_las_per_type_discourse_r,dep_las_per_type_discourse_f,dep_las_per_type_goeswith_p,dep_las_per_type_goeswith_r,dep_las_per_type_goeswith_f,k,model,augmenter,i
0,1.7908596992492676,0.999150891563858,0.996506637388961,0.9961089494163424,0.9963077537171939,0.0,0.9815166350284744,0.77737881508079,0.7759856630824373,0.7766816143497757,0.8864864864864865,0.9111111111111111,0.8986301369863013,0.7256637168141593,0.6776859504132231,0.7008547008547009,0.7672413793103449,0.9270833333333334,0.839622641509434,0.6853146853146853,0.6086956521739131,0.6447368421052632,0.7905405405405406,0.8032036613272311,0.7968217934165721,0.8925013109596225,0.8665307311389454,0.8434782608695652,0.8508771929824561,0.8471615720524017,0.8915441176470589,0.8882783882783882,0.8899082568807339,0.7837837837837838,0.7665198237885462,0.7750556792873051,0.9125395152792413,0.914466737064414,0.9135021097046413,0.9322916666666666,0.9521276595744681,0.9421052631578947,0.8709677419354839,0.8910891089108911,0.8809135399673736,0.8275862068965517,0.8347826086956521,0.8311688311688311,0.9057591623036649,0.9185840707964602,0.9121265377855887,0.8389830508474576,0.8227146814404432,0.8307692307692308,0.9395248380129589,0.9354838709677419,0.9375,0.909375,0.8953846153846153,0.9023255813953488,0.7191011235955056,0.810126582278481,0.761904761904762,0.9333333333333333,0.9117647058823529,0.922422954303932,0.9500998003992016,0.9596774193548387,0.954864593781344,0.838655462184874,0.8022508038585209,0.8200493015612161,0.7961165048543689,0.7522935779816514,0.7735849056603774,0.9059500959692899,0.9059500959692899,0.9059500959692899,0.8406593406593407,0.8693181818181818,0.8547486033519553,0.751412429378531,0.726775956284153,0.7388888888888889,0.14,0.4827586206896552,0.2170542635658915,0.6666666666666666,0.5882352941176471,0.625,0.8125,0.7428571428571429,0.7761194029850748,0.9464285714285714,0.8412698412698413,0.8907563025210083,0.6666666666666666,0.5333333333333333,0.5925925925925926,0.5897435897435898,0.6052631578947368,0.5974025974025974,0.875,0.4375,0.5833333333333334,0.7142857142857143,0.5882352941176471,0.6451612903225806,0.7857142857142857,0.8627450980392157,0.8224299065420562,0.9444444444444444,0.8717948717948718,0.9066666666666667,0.4666666666666667,0.4117647058823529,0.43749999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,dacy_medium,No augmentation,0
0,2.0763392448425293,0.9981563605560815,0.9854769720481449,0.9884266187768134,0.9869495915521022,0.0,0.9366911507520111,0.5504322766570605,0.6845878136200717,0.610223642172524,0.6592920353982301,0.8277777777777777,0.7339901477832512,0.43037974683544306,0.5619834710743802,0.48745519713261654,0.6260162601626016,0.8020833333333334,0.7031963470319634,0.47058823529411764,0.546583850931677,0.5057471264367817,0.585820895522388,0.7185354691075515,0.645426515930113,0.8348949543153116,0.7995580624527535,0.7863247863247863,0.8070175438596491,0.7965367965367965,0.837037037037037,0.8278388278388278,0.8324125230202578,0.6623931623931624,0.6828193832599119,0.6724511930585683,0.8648068669527897,0.8511087645195353,0.8579031399680682,0.7359307359307359,0.9042553191489362,0.8114558472553699,0.8166666666666667,0.8085808580858086,0.812603648424544,0.7542857142857143,0.7652173913043478,0.7597122302158273,0.8274706867671692,0.8743362831858407,0.8502581755593803,0.7482614742698191,0.7451523545706371,0.7467036780013879,0.8934240362811792,0.8473118279569892,0.8697571743929359,0.8922558922558923,0.8153846153846154,0.8520900321543409,0.6483516483516484,0.7468354430379747,0.6941176470588236,0.910913140311804,0.8592436974789915,0.8843243243243243,0.9206680584551148,0.8891129032258065,0.9046153846153846,0.7568027210884354,0.7154340836012861,0.7355371900826446,0.6936936936936937,0.7064220183486238,0.7,0.8115942028985508,0.8598848368522073,0.8350419384902145,0.8045977011494253,0.7954545454545454,0.7999999999999999,0.7484662576687117,0.6666666666666666,0.7052023121387283,0.09322033898305085,0.3793103448275862,0.14965986394557823,0.7,0.6176470588235294,0.65625,0.8181818181818182,0.6857142857142857,0.7461139896373058,0.9615384615384616,0.7936507936507936,0.8695652173913043,0.7,0.4666666666666667,0.56,0.39215686274509803,0.5263157894736842,0.449438202247191,0.8888888888888888,0.5,0.64,0.6136363636363636,0.5294117647058824,0.5684210526315789,0.8333333333333334,0.7843137254901961,0.8080808080808081,0.9411764705882353,0.8205128205128205,0.8767123287671232,0.3333333333333333,0.4117647058823529,0.36842105263157887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,dacy_medium,Keystroke errors 2%,1
1,2.068362236022949,0.9985105749180816,0.9817568907396391,0.9879277661378829,0.9848326619921428,0.0,0.9336060258392777,0.5693848354792561,0.7132616487455197,0.6332537788385044,0.6352459016393442,0.8611111111111112,0.7311320754716981,0.5140845070422535,0.6033057851239669,0.5551330798479087,0.6030534351145038,0.8229166666666666,0.6960352422907489,0.5,0.5652173913043478,0.5306122448979592,0.5834829443447038,0.7437070938215103,0.6539235412474851,0.8411073630336164,0.799604903840567,0.752,0.8245614035087719,0.7866108786610879,0.8284132841328413,0.8223443223443223,0.8253676470588235,0.6681127982646421,0.6784140969162996,0.6732240437158471,0.8729989327641409,0.8637803590285111,0.8683651804670913,0.7565217391304347,0.925531914893617,0.8325358851674641,0.8384879725085911,0.8052805280528053,0.8215488215488215,0.7301136363636364,0.744927536231884,0.7374461979913915,0.8230383973288815,0.8725663716814159,0.8470790378006873,0.7637906647807637,0.7479224376731302,0.755773268019594,0.9105504587155964,0.853763440860215,0.881243063263041,0.9105960264900662,0.8461538461538461,0.8771929824561403,0.6835443037974683,0.6835443037974683,0.6835443037974683,0.9029768467475193,0.8602941176470589,0.881118881118881,0.9203354297693921,0.8850806451612904,0.9023638232271327,0.7645107794361525,0.7411575562700965,0.7526530612244898,0.652542372881356,0.7064220183486238,0.6784140969162995,0.8226691042047533,0.8637236084452975,0.8426966292134833,0.797752808988764,0.8068181818181818,0.8022598870056498,0.6464088397790055,0.639344262295082,0.6428571428571429,0.09917355371900827,0.41379310344827586,0.16,0.6363636363636364,0.4117647058823529,0.5,0.7,0.6,0.6461538461538462,0.88,0.6984126984126984,0.7787610619469026,0.5,0.3333333333333333,0.4,0.5306122448979592,0.6842105263157895,0.5977011494252874,0.7,0.4375,0.5384615384615384,0.574468085106383,0.5294117647058824,0.5510204081632654,0.7450980392156863,0.7450980392156863,0.7450980392156863,0.9142857142857143,0.8205128205128205,0.8648648648648648,0.3125,0.29411764705882354,0.30303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,dacy_medium,Keystroke errors 2%,1
2,1.998291015625,0.9985571421463755,0.985989666136725,0.9900229472213908,0.9880021904714493,0.0,0.9381087966431888,0.5899280575539568,0.7347670250896058,0.6544293695131684,0.6724137931034483,0.8666666666666667,0.7572815533980582,0.5095541401273885,0.6611570247933884,0.5755395683453238,0.6916666666666667,0.8645833333333334,0.7685185185185186,0.489247311827957,0.5652173913043478,0.5244956772334294,0.6133828996282528,0.7551487414187643,0.6769230769230768,0.8439918533604888,0.8045816617245188,0.752,0.8245614035087719,0.7866108786610879,0.8421052631578947,0.8498168498168498,0.8459434822242479,0.6739606126914661,0.6784140969162996,0.6761800219538969,0.8674443266171792,0.8637803590285111,0.8656084656084656,0.8054298642533937,0.9468085106382979,0.8704156479217603,0.8557046979865772,0.8415841584158416,0.848585690515807,0.7758620689655172,0.782608695652174,0.7792207792207793,0.8216666666666667,0.8725663716814159,0.8463519313304722,0.7621082621082621,0.7409972299168975,0.7514044943820225,0.9111617312072893,0.8602150537634409,0.8849557522123893,0.8859060402684564,0.8123076923076923,0.8475120385232746,0.6341463414634146,0.6582278481012658,0.6459627329192545,0.9031180400890868,0.851890756302521,0.8767567567567567,0.9269311064718163,0.8951612903225806,0.9107692307692308,0.7636986301369864,0.7170418006430869,0.7396351575456053,0.6875,0.7064220183486238,0.6968325791855203,0.8333333333333334,0.8733205374280231,0.8528584817244611,0.776536312849162,0.7897727272727273,0.7830985915492957,0.7085714285714285,0.6775956284153005,0.6927374301675977,0.1015625,0.4482758620689655,0.16560509554140126,0.6428571428571429,0.5294117647058824,0.5806451612903226,0.7865168539325843,0.6666666666666666,0.7216494845360824,0.8888888888888888,0.7619047619047619,0.8205128205128205,0.5384615384615384,0.4666666666666667,0.5,0.4883720930232558,0.5526315789473685,0.5185185185185185,0.7142857142857143,0.3125,0.43478260869565216,0.6222222222222222,0.5490196078431373,0.5833333333333334,0.7843137254901961,0.7843137254901961,0.7843137254901961,0.9444444444444444,0.8717948717948718,0.9066666666666667,0.32,0.47058823529411764,0.38095238095238104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,dacy_medium,Keystroke errors 2%,1
3,1.9793128967285156,0.9983595963612865,0.9833250620347395,0.9884266187768134,0.9858692407204698,0.0,0.9337926902336728,0.5823699421965318,0.7222222222222222,0.6447999999999999,0.6337448559670782,0.8555555555555555,0.7281323877068557,0.5422535211267606,0.6363636363636364,0.5855513307984791,0.6557377049180327,0.8333333333333334,0.7339449541284403,0.4972972972972973,0.5714285714285714,0.5317919075144508,0.5927272727272728,0.7459954233409611,0.6605876393110436,0.8382104834487172,0.7968622893666473,0.7723577235772358,0.8333333333333334,0.8016877637130801,0.8198198198198198,0.8333333333333334,0.8265213442325159,0.676595744680851,0.7004405286343612,0.6883116883116883,0.8657357679914071,0.8511087645195353,0.8583599574014908,0.7678571428571429,0.9148936170212766,0.8349514563106796,0.842809364548495,0.8316831683168316,0.8372093023255813,0.7320441988950276,0.7681159420289855,0.7496463932107497,0.8409475465313029,0.879646017699115,0.8598615916955017,0.7673048600883653,0.721606648199446,0.7437544610992148,0.9147982062780269,0.8774193548387097,0.8957189901207464,0.8904109589041096,0.8,0.8427876823338737,0.6590909090909091,0.7341772151898734,0.6946107784431138,0.8950276243093923,0.8508403361344538,0.8723747980613893,0.9173728813559322,0.8729838709677419,0.8946280991735537,0.765704584040747,0.72508038585209,0.7448389760528489,0.6864406779661016,0.7431192660550459,0.7136563876651981,0.8133086876155268,0.8445297504798465,0.8286252354048964,0.7802197802197802,0.8068181818181818,0.7932960893854749,0.7068965517241379,0.6721311475409836,0.6890756302521007,0.08333333333333333,0.3793103448275862,0.13664596273291924,0.5833333333333334,0.4117647058823529,0.4827586206896552,0.6923076923076923,0.6,0.6428571428571429,0.8979591836734694,0.6984126984126984,0.7857142857142857,0.5384615384615384,0.4666666666666667,0.5,0.4375,0.5526315789473685,0.4883720930232558,0.875,0.4375,0.5833333333333334,0.5102040816326531,0.49019607843137253,0.5,0.7142857142857143,0.7843137254901961,0.7476635514018691,0.9375,0.7692307692307693,0.8450704225352113,0.34782608695652173,0.47058823529411764,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,dacy_medium,Keystroke errors 2%,1
4,1.820814847946167,0.9982598319494853,0.98302561048243,0.988027536665669,0.9855202268995372,0.0,0.939062733942207,0.5617816091954023,0.7007168458781362,0.6236044657097288,0.601593625498008,0.8388888888888889,0.7006960556844548,0.5289855072463768,0.6033057851239669,0.5637065637065636,0.6964285714285714,0.8125,0.75,0.4564102564102564,0.5527950310559007,0.5,0.5698924731182796,0.7276887871853547,0.6391959798994975,0.8380830522275211,0.8010459035444508,0.7583333333333333,0.7982456140350878,0.7777777777777778,0.8462962962962963,0.836996336996337,0.841620626151013,0.6857749469214437,0.711453744493392,0.6983783783783784,0.8644610458911419,0.8553326293558606,0.8598726114649682,0.7172995780590717,0.9042553191489362,0.7999999999999999,0.8202614379084967,0.8283828382838284,0.8243021346469622,0.7073170731707317,0.7565217391304347,0.7310924369747899,0.8146911519198664,0.863716814159292,0.838487972508591,0.7654676258992805,0.7368421052631579,0.7508821453775582,0.9267734553775744,0.8709677419354839,0.8980044345898005,0.8910891089108911,0.8307692307692308,0.8598726114649682,0.7108433734939759,0.7468354430379747,0.728395061728395,0.9066666666666666,0.8571428571428571,0.8812095032397408,0.9334763948497854,0.8770161290322581,0.9043659043659044,0.7688442211055276,0.7379421221864951,0.7530762920426578,0.6491228070175439,0.6788990825688074,0.6636771300448431,0.8248175182481752,0.8675623800383877,0.8456501403180543,0.8106508875739645,0.7784090909090909,0.7942028985507247,0.6871508379888268,0.6721311475409836,0.6795580110497237,0.10526315789473684,0.41379310344827586,0.1678321678321678,0.68,0.5,0.576271186440678,0.7872340425531915,0.7047619047619048,0.7437185929648242,0.9375,0.7142857142857143,0.8108108108108109,0.38461538461538464,0.3333333333333333,0.3571428571428571,0.5,0.6052631578947368,0.5476190476190477,0.8333333333333334,0.3125,0.45454545454545453,0.65,0.5098039215686274,0.5714285714285715,0.7547169811320755,0.7843137254901961,0.7692307692307692,0.8235294117647058,0.717948717948718,0.767123287671233,0.20833333333333334,0.29411764705882354,0.24390243902439027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,dacy_medium,Keystroke errors 2%,1
5,1.964721918106079,0.9981102048935747,0.9822297230219399,0.9871296019155942,0.984673566878981,0.0,0.9328205384346435,0.5679542203147353,0.7114695340501792,0.6316626889419251,0.7058823529411765,0.8666666666666667,0.7780548628428927,0.48299319727891155,0.5867768595041323,0.5298507462686568,0.6201550387596899,0.8333333333333334,0.7111111111111112,0.44554455445544555,0.5590062111801242,0.49586776859504134,0.5905797101449275,0.7459954233409611,0.6592517694641051,0.8334981099156732,0.7953053279879148,0.7652173913043478,0.7719298245614035,0.7685589519650655,0.8211678832116789,0.8241758241758241,0.8226691042047531,0.6443514644351465,0.6784140969162996,0.6609442060085837,0.8731182795698925,0.8574445617740233,0.8652104421949921,0.8302752293577982,0.9627659574468085,0.8916256157635469,0.8154362416107382,0.801980198019802,0.8086522462562395,0.712707182320442,0.7478260869565218,0.7298444130127298,0.8313856427378965,0.8814159292035398,0.8556701030927836,0.759493670886076,0.7479224376731302,0.7536636427076063,0.9135514018691588,0.8408602150537634,0.8756998880179171,0.8825503355704698,0.8092307692307692,0.8443017656500803,0.6533333333333333,0.620253164556962,0.6363636363636364,0.911731843575419,0.8571428571428571,0.8835950189496481,0.9209401709401709,0.8689516129032258,0.8941908713692945,0.7624784853700516,0.7122186495176849,0.7364921030756442,0.7155963302752294,0.7155963302752294,0.7155963302752294,0.8054054054054054,0.8579654510556622,0.8308550185873607,0.7941176470588235,0.7670454545454546,0.7803468208092487,0.7197802197802198,0.7158469945355191,0.7178082191780821,0.11666666666666667,0.4827586206896552,0.18791946308724836,0.6923076923076923,0.5294117647058824,0.5999999999999999,0.7222222222222222,0.6190476190476191,0.6666666666666666,0.9056603773584906,0.7619047619047619,0.8275862068965516,0.7272727272727273,0.5333333333333333,0.6153846153846153,0.41304347826086957,0.5,0.45238095238095233,0.6,0.1875,0.2857142857142857,0.4807692307692308,0.49019607843137253,0.4854368932038835,0.7678571428571429,0.8431372549019608,0.8037383177570093,0.8888888888888888,0.8205128205128205,0.8533333333333333,0.25925925925925924,0.4117647058823529,0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,dacy_medium,Keystroke errors 2%,1
6,1.884028434753418,0.9982598319494853,0.9826285487393289,0.9876284545545246,0.9851221575359506,0.0,0.9357963055416875,0.5796269727403156,0.7240143369175627,0.6438247011952191,0.6710526315789473,0.85,0.7499999999999999,0.48717948717948717,0.628099173553719,0.5487364620938628,0.6554621848739496,0.8125,0.7255813953488373,0.5,0.6024844720496895,0.5464788732394366,0.6062846580406654,0.7505720823798627,0.670756646216769,0.8392503783028751,0.7998604488894057,0.7301587301587301,0.8070175438596491,0.7666666666666667,0.8216216216216217,0.8351648351648352,0.8283378746594006,0.6510638297872341,0.6740088105726872,0.6623376623376624,0.8791801510248112,0.8606124604012672,0.8697972251867663,0.7531380753138075,0.9574468085106383,0.8430913348946135,0.8206896551724138,0.7854785478547854,0.8026981450252951,0.7427745664739884,0.744927536231884,0.7438494934876989,0.8486394557823129,0.8831858407079646,0.8655680832610582,0.7650429799426934,0.739612188365651,0.7521126760563381,0.9287305122494433,0.896774193548387,0.912472647702407,0.9087837837837838,0.8276923076923077,0.8663446054750402,0.6585365853658537,0.6835443037974683,0.6708074534161491,0.8968957871396895,0.8497899159663865,0.872707659115426,0.9224137931034483,0.8629032258064516,0.8916666666666667,0.7516891891891891,0.7154340836012861,0.7331136738056012,0.6050420168067226,0.6605504587155964,0.6315789473684209,0.8277777777777777,0.8579654510556622,0.8426013195098963,0.8418079096045198,0.8465909090909091,0.8441926345609065,0.7126436781609196,0.6775956284153005,0.6946778711484592,0.11965811965811966,0.4827586206896552,0.19178082191780824,0.6206896551724138,0.5294117647058824,0.5714285714285715,0.7340425531914894,0.6571428571428571,0.6934673366834171,0.9056603773584906,0.7619047619047619,0.8275862068965516,0.5833333333333334,0.4666666666666667,0.5185185185185186,0.45652173913043476,0.5526315789473685,0.5,0.625,0.3125,0.4166666666666667,0.6363636363636364,0.5490196078431373,0.5894736842105264,0.7454545454545455,0.803921568627451,0.7735849056603775,0.9090909090909091,0.7692307692307693,0.8333333333333333,0.25,0.35294117647058826,0.2926829268292683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,dacy_medium,Keystroke errors 2%,1
7,2.085150957107544,0.998360248447205,0.9818434368488937,0.9873291429711664,0.9845786488906576,0.0,0.9387734718337994,0.597953216374269,0.7329749103942652,0.6586151368760064,0.6595744680851063,0.8611111111111112,0.7469879518072289,0.5642857142857143,0.6528925619834711,0.6053639846743295,0.656,0.8541666666666666,0.7420814479638009,0.5054347826086957,0.577639751552795,0.5391304347826087,0.6066176470588235,0.7551487414187643,0.672782874617737,0.8479171515010472,0.8105342712632987,0.782608695652174,0.7894736842105263,0.7860262008733624,0.8363636363636363,0.8424908424908425,0.8394160583941607,0.6585365853658537,0.7136563876651982,0.6849894291754758,0.8886486486486487,0.8680042238648363,0.8782051282051282,0.7816593886462883,0.9521276595744681,0.8585131894484413,0.8377483443708609,0.834983498349835,0.8363636363636363,0.7388888888888889,0.7710144927536232,0.754609929078014,0.8512820512820513,0.8814159292035398,0.8660869565217392,0.7808988764044944,0.7700831024930748,0.7754532775453278,0.9105145413870246,0.875268817204301,0.8925438596491229,0.9102990033222591,0.8430769230769231,0.8753993610223642,0.7564102564102564,0.7468354430379747,0.751592356687898,0.904550499445061,0.8560924369747899,0.8796546141392337,0.945031712473573,0.9012096774193549,0.9226006191950465,0.7847222222222222,0.7266881028938906,0.7545909849749581,0.6754385964912281,0.7064220183486238,0.6905829596412555,0.8364661654135338,0.8541266794625719,0.8452041785375118,0.7771739130434783,0.8125,0.7944444444444444,0.6914285714285714,0.6612021857923497,0.6759776536312849,0.10185185185185185,0.3793103448275862,0.1605839416058394,0.5925925925925926,0.47058823529411764,0.5245901639344261,0.7052631578947368,0.638095238095238,0.6699999999999999,0.9038461538461539,0.746031746031746,0.8173913043478261,0.7,0.4666666666666667,0.56,0.45098039215686275,0.6052631578947368,0.5168539325842696,0.7142857142857143,0.3125,0.43478260869565216,0.5909090909090909,0.5098039215686274,0.5473684210526317,0.7547169811320755,0.7843137254901961,0.7692307692307692,0.9428571428571428,0.8461538461538461,0.8918918918918919,0.26666666666666666,0.47058823529411764,0.3404255319148936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,dacy_medium,Keystroke errors 2%,1
8,1.945206880569458,0.9983096350800437,0.98302561048243,0.988027536665669,0.9855202268995372,0.0,0.9368883563011783,0.5769230769230769,0.7258064516129032,0.6428571428571428,0.6583333333333333,0.8777777777777778,0.7523809523809525,0.49032258064516127,0.628099173553719,0.5507246376811594,0.7053571428571429,0.8229166666666666,0.7596153846153847,0.4717948717948718,0.5714285714285714,0.5168539325842697,0.6014625228519196,0.7528604118993135,0.6686991869918699,0.8317050476855082,0.7961187612573354,0.7419354838709677,0.8070175438596491,0.7731092436974789,0.8353982300884956,0.8644688644688645,0.8496849684968498,0.658008658008658,0.6696035242290749,0.6637554585152838,0.8685897435897436,0.8585005279831045,0.8635156664896442,0.757847533632287,0.898936170212766,0.8223844282238444,0.813953488372093,0.8085808580858086,0.8112582781456954,0.7470588235294118,0.736231884057971,0.7416058394160584,0.8088962108731467,0.8690265486725663,0.8378839590443685,0.7546099290780142,0.7368421052631579,0.7456201822004205,0.9043280182232346,0.853763440860215,0.8783185840707963,0.8733333333333333,0.8061538461538461,0.8384,0.6395348837209303,0.6962025316455697,0.6666666666666667,0.9037610619469026,0.8581932773109243,0.8803879310344828,0.9278131634819533,0.8810483870967742,0.9038262668045502,0.7470686767169179,0.7170418006430869,0.7317473338802297,0.6608695652173913,0.6972477064220184,0.6785714285714286,0.8268876611418048,0.8618042226487524,0.8439849624060151,0.7828571428571428,0.7784090909090909,0.7806267806267806,0.7305389221556886,0.6666666666666666,0.6971428571428571,0.09734513274336283,0.3793103448275862,0.15492957746478875,0.5769230769230769,0.4411764705882353,0.5,0.7727272727272727,0.6476190476190476,0.7046632124352331,0.9230769230769231,0.7619047619047619,0.8347826086956522,0.7,0.4666666666666667,0.56,0.4791666666666667,0.6052631578947368,0.5348837209302326,0.5555555555555556,0.3125,0.39999999999999997,0.5098039215686274,0.5098039215686274,0.5098039215686274,0.6981132075471698,0.7254901960784313,0.7115384615384615,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.3333333333333333,0.4117647058823529,0.36842105263157887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,dacy_medium,Keystroke errors 2%,1
