,wall_time,token_acc,token_p,token_r,token_f,pos_acc,tag_acc,ents_p,ents_r,ents_f,ents_per_type_PER_p,ents_per_type_PER_r,ents_per_type_PER_f,ents_per_type_MISC_p,ents_per_type_MISC_r,ents_per_type_MISC_f,ents_per_type_LOC_p,ents_per_type_LOC_r,ents_per_type_LOC_f,ents_per_type_ORG_p,ents_per_type_ORG_r,ents_per_type_ORG_f,ents_excl_MISC_ents_p,ents_excl_MISC_ents_r,ents_excl_MISC_ents_f,dep_uas,dep_las,dep_las_per_type_nummod_p,dep_las_per_type_nummod_r,dep_las_per_type_nummod_f,dep_las_per_type_amod_p,dep_las_per_type_amod_r,dep_las_per_type_amod_f,dep_las_per_type_nmod_p,dep_las_per_type_nmod_r,dep_las_per_type_nmod_f,dep_las_per_type_nsubj_p,dep_las_per_type_nsubj_r,dep_las_per_type_nsubj_f,dep_las_per_type_flat_p,dep_las_per_type_flat_r,dep_las_per_type_flat_f,dep_las_per_type_cc_p,dep_las_per_type_cc_r,dep_las_per_type_cc_f,dep_las_per_type_conj_p,dep_las_per_type_conj_r,dep_las_per_type_conj_f,dep_las_per_type_root_p,dep_las_per_type_root_r,dep_las_per_type_root_f,dep_las_per_type_advmod_p,dep_las_per_type_advmod_r,dep_las_per_type_advmod_f,dep_las_per_type_mark_p,dep_las_per_type_mark_r,dep_las_per_type_mark_f,dep_las_per_type_aux_p,dep_las_per_type_aux_r,dep_las_per_type_aux_f,dep_las_per_type_ccomp_p,dep_las_per_type_ccomp_r,dep_las_per_type_ccomp_f,dep_las_per_type_case_p,dep_las_per_type_case_r,dep_las_per_type_case_f,dep_las_per_type_det_p,dep_las_per_type_det_r,dep_las_per_type_det_f,dep_las_per_type_obl_p,dep_las_per_type_obl_r,dep_las_per_type_obl_f,dep_las_per_type_nmod:poss_p,dep_las_per_type_nmod:poss_r,dep_las_per_type_nmod:poss_f,dep_las_per_type_obj_p,dep_las_per_type_obj_r,dep_las_per_type_obj_f,dep_las_per_type_dep_p,dep_las_per_type_dep_r,dep_las_per_type_dep_f,dep_las_per_type_xcomp_p,dep_las_per_type_xcomp_r,dep_las_per_type_xcomp_f,dep_las_per_type_cop_p,dep_las_per_type_cop_r,dep_las_per_type_cop_f,dep_las_per_type_acl:relcl_p,dep_las_per_type_acl:relcl_r,dep_las_per_type_acl:relcl_f,dep_las_per_type_compound:prt_p,dep_las_per_type_compound:prt_r,dep_las_per_type_compound:prt_f,dep_las_per_type_advcl_p,dep_las_per_type_advcl_r,dep_las_per_type_advcl_f,dep_las_per_type_fixed_p,dep_las_per_type_fixed_r,dep_las_per_type_fixed_f,dep_las_per_type_iobj_p,dep_las_per_type_iobj_r,dep_las_per_type_iobj_f,dep_las_per_type_appos_p,dep_las_per_type_appos_r,dep_las_per_type_appos_f,dep_las_per_type_obl:tmod_p,dep_las_per_type_obl:tmod_r,dep_las_per_type_obl:tmod_f,dep_las_per_type_obl:loc_p,dep_las_per_type_obl:loc_r,dep_las_per_type_obl:loc_f,dep_las_per_type_expl_p,dep_las_per_type_expl_r,dep_las_per_type_expl_f,dep_las_per_type_list_p,dep_las_per_type_list_r,dep_las_per_type_list_f,dep_las_per_type_vocative_p,dep_las_per_type_vocative_r,dep_las_per_type_vocative_f,dep_las_per_type_discourse_p,dep_las_per_type_discourse_r,dep_las_per_type_discourse_f,dep_las_per_type_goeswith_p,dep_las_per_type_goeswith_r,dep_las_per_type_goeswith_f,k,model,augmenter,i
0,0.9203231334686279,0.999150891563858,0.996506637388961,0.9961089494163424,0.9963077537171939,0.9630406552791929,0.9630406552791929,0.7898832684824902,0.7275985663082437,0.7574626865671642,0.826530612244898,0.9,0.8617021276595744,0.6846846846846847,0.628099173553719,0.6551724137931034,0.8018867924528302,0.8854166666666666,0.8415841584158416,0.8217821782178217,0.515527950310559,0.6335877862595419,0.8188585607940446,0.7551487414187643,0.7857142857142858,0.8194678931128836,0.7800675282337873,0.7909090909090909,0.7631578947368421,0.7767857142857142,0.8361581920903954,0.8131868131868132,0.8245125348189414,0.6350806451612904,0.6938325991189427,0.6631578947368422,0.8447537473233405,0.8331573389651531,0.8389154704944178,0.9333333333333333,0.8936170212765957,0.9130434782608695,0.8012820512820513,0.8250825082508251,0.8130081300813008,0.6047904191616766,0.5855072463768116,0.5949926362297496,0.7990115321252059,0.8584070796460177,0.8276450511945391,0.6857523302263648,0.7132963988919667,0.6992532247114731,0.8970917225950783,0.8623655913978494,0.8793859649122807,0.8722741433021807,0.8615384615384616,0.8668730650154798,0.6309523809523809,0.6708860759493671,0.6503067484662577,0.8765560165975104,0.8876050420168067,0.8820459290187891,0.903921568627451,0.9294354838709677,0.9165009940357853,0.7165217391304348,0.662379421221865,0.6883876357560569,0.69,0.6330275229357798,0.6602870813397128,0.7813084112149533,0.8023032629558541,0.7916666666666666,0.15,0.3103448275862069,0.20224719101123598,0.6046511627906976,0.5098039215686274,0.553191489361702,0.7771739130434783,0.8125,0.7944444444444444,0.6511627906976745,0.6120218579234973,0.6309859154929578,0.45,0.2647058823529412,0.33333333333333337,0.6336633663366337,0.6095238095238096,0.6213592233009708,0.9607843137254902,0.7777777777777778,0.8596491228070176,0.5,0.3333333333333333,0.4,0.65625,0.5526315789473685,0.6,0.75,0.1875,0.3,0.5892857142857143,0.6470588235294118,0.6168224299065421,0.8108108108108109,0.7692307692307693,0.7894736842105263,0.3333333333333333,0.11764705882352941,0.1739130434782609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,spacy_large,No augmentation,0
0,1.036581039428711,0.9986622404994302,0.9799109351806037,0.9879277661378829,0.9839030206677265,0.9136134788893874,0.9136134788893874,0.7209302325581395,0.6666666666666666,0.6927374301675978,0.7524271844660194,0.8611111111111112,0.8031088082901555,0.6,0.5702479338842975,0.5847457627118644,0.76,0.7916666666666666,0.7755102040816326,0.7578947368421053,0.4472049689440994,0.5625,0.7556109725685786,0.6933638443935927,0.7231503579952268,0.7502033228767283,0.6926246155631636,0.7477477477477478,0.7280701754385965,0.7377777777777778,0.7299270072992701,0.7326007326007326,0.7312614259597805,0.5181159420289855,0.6299559471365639,0.5685884691848906,0.7505307855626328,0.7465681098204857,0.7485442032821598,0.8341968911917098,0.8563829787234043,0.8451443569553805,0.7722772277227723,0.7722772277227723,0.7722772277227723,0.49728260869565216,0.5304347826086957,0.5133239831697055,0.717741935483871,0.7876106194690266,0.7510548523206751,0.5962643678160919,0.574792243767313,0.5853314527503526,0.8369304556354916,0.7505376344086021,0.7913832199546484,0.8333333333333334,0.7538461538461538,0.7915993537964457,0.55,0.5569620253164557,0.5534591194968553,0.8302900107411385,0.8119747899159664,0.8210302708443971,0.8492871690427699,0.8407258064516129,0.8449848024316109,0.6467391304347826,0.5739549839228296,0.6081771720613288,0.512,0.5871559633027523,0.5470085470085471,0.661319073083779,0.7120921305182342,0.6857670979667283,0.0625,0.2413793103448276,0.09929078014184396,0.5714285714285714,0.39215686274509803,0.46511627906976744,0.7081081081081081,0.7443181818181818,0.7257617728531855,0.563953488372093,0.5300546448087432,0.5464788732394367,0.45,0.2647058823529412,0.33333333333333337,0.5681818181818182,0.47619047619047616,0.5181347150259067,0.9069767441860465,0.6190476190476191,0.7358490566037736,0.4,0.26666666666666666,0.32,0.35555555555555557,0.42105263157894735,0.38554216867469876,0.6666666666666666,0.125,0.21052631578947367,0.5535714285714286,0.6078431372549019,0.5794392523364487,0.8181818181818182,0.6923076923076923,0.7500000000000001,0.07142857142857142,0.058823529411764705,0.06451612903225808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,spacy_large,Keystroke errors 2%,1
1,0.9100034236907959,0.9986587849585217,0.9835301121142971,0.9890252419435299,0.9862700228832952,0.912835344569662,0.912835344569662,0.710727969348659,0.6648745519713262,0.687037037037037,0.7203791469194313,0.8444444444444444,0.7774936061381075,0.6095238095238096,0.5289256198347108,0.5663716814159293,0.7669902912621359,0.8229166666666666,0.7939698492462312,0.7378640776699029,0.4720496894409938,0.5757575757575757,0.7362110311750599,0.7025171624713958,0.7189695550351288,0.7541269472215764,0.6985306928393054,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7486238532110092,0.7472527472527473,0.7479376718606783,0.48333333333333334,0.6387665198237885,0.5502846299810247,0.7723756906077348,0.7381203801478353,0.7548596112311016,0.8186528497409327,0.8404255319148937,0.8293963254593176,0.7661016949152543,0.7458745874587459,0.7558528428093646,0.5333333333333333,0.5565217391304348,0.5446808510638298,0.7189952904238619,0.8106194690265487,0.762063227953411,0.6384505021520803,0.6163434903047091,0.6272022551092318,0.8485576923076923,0.7591397849462366,0.8013620885357549,0.8428571428571429,0.7261538461538461,0.7801652892561982,0.575,0.5822784810126582,0.5786163522012578,0.8402116402116402,0.8340336134453782,0.8371112282551396,0.8449304174950298,0.8568548387096774,0.8508508508508508,0.644808743169399,0.5691318327974276,0.6046114432109309,0.5304347826086957,0.5596330275229358,0.5446428571428571,0.658578856152513,0.7293666026871402,0.692167577413479,0.07368421052631578,0.2413793103448276,0.1129032258064516,0.4,0.3137254901960784,0.3516483516483516,0.7191011235955056,0.7272727272727273,0.7231638418079096,0.5279503105590062,0.4644808743169399,0.4941860465116279,0.375,0.17647058823529413,0.24,0.5,0.41904761904761906,0.4559585492227979,0.8863636363636364,0.6190476190476191,0.7289719626168225,0.36363636363636365,0.26666666666666666,0.30769230769230765,0.3333333333333333,0.3684210526315789,0.35,0.25,0.0625,0.1,0.6078431372549019,0.6078431372549019,0.6078431372549019,0.8,0.717948717948718,0.7567567567567569,0.2222222222222222,0.11764705882352941,0.15384615384615383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,spacy_large,Keystroke errors 2%,1
2,0.9114525318145752,0.9983077841927136,0.9845970386564643,0.9885263893045995,0.9865578014537489,0.913675171002047,0.913675171002047,0.7,0.6648745519713262,0.681985294117647,0.722488038277512,0.8388888888888889,0.7763496143958869,0.6238532110091743,0.5619834710743802,0.5913043478260869,0.7326732673267327,0.7708333333333334,0.751269035532995,0.7027027027027027,0.484472049689441,0.5735294117647058,0.7197149643705463,0.6933638443935927,0.7062937062937064,0.7546950404093261,0.6976879284303473,0.7864077669902912,0.7105263157894737,0.7465437788018434,0.7468354430379747,0.7564102564102564,0.751592356687898,0.5342960288808665,0.6519823788546255,0.5873015873015873,0.7566079295154186,0.7254487856388595,0.7407008086253368,0.8586387434554974,0.8723404255319149,0.8654353562005278,0.7601351351351351,0.7425742574257426,0.7512520868113522,0.5086705202312138,0.5101449275362319,0.5094066570188133,0.7232,0.8,0.7596638655462183,0.6267409470752089,0.6232686980609419,0.625,0.8278301886792453,0.7548387096774194,0.7896512935883016,0.8274647887323944,0.7230769230769231,0.7717569786535304,0.6301369863013698,0.5822784810126582,0.6052631578947368,0.8360128617363344,0.819327731092437,0.8275862068965518,0.8470824949698189,0.8487903225806451,0.8479355488418933,0.6455026455026455,0.5884244372990354,0.6156433978132885,0.5423728813559322,0.5871559633027523,0.5638766519823789,0.6341463414634146,0.6986564299424184,0.6648401826484018,0.0967741935483871,0.3103448275862069,0.14754098360655737,0.40384615384615385,0.4117647058823529,0.4077669902912621,0.7111111111111111,0.7272727272727273,0.7191011235955056,0.5465116279069767,0.5136612021857924,0.5295774647887324,0.4117647058823529,0.20588235294117646,0.2745098039215686,0.5444444444444444,0.4666666666666667,0.5025641025641026,0.8076923076923077,0.6666666666666666,0.7304347826086955,0.45454545454545453,0.3333333333333333,0.3846153846153846,0.5,0.5263157894736842,0.5128205128205129,0.75,0.1875,0.3,0.6086956521739131,0.5490196078431373,0.577319587628866,0.7428571428571429,0.6666666666666666,0.7027027027027027,0.14285714285714285,0.11764705882352941,0.12903225806451615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,spacy_large,Keystroke errors 2%,1
3,0.9044322967529297,0.9987588740505385,0.9835382784609282,0.9895240945824604,0.9865221067289998,0.9175602214353399,0.9175602214353399,0.7077798861480076,0.6684587813620072,0.6875576036866361,0.7272727272727273,0.8444444444444444,0.7814910025706943,0.5677966101694916,0.5537190082644629,0.5606694560669457,0.7623762376237624,0.8020833333333334,0.7817258883248732,0.7777777777777778,0.4782608695652174,0.5923076923076923,0.7481662591687042,0.700228832951945,0.723404255319149,0.7570864312267658,0.7031104921077066,0.7663551401869159,0.7192982456140351,0.7420814479638009,0.7654784240150094,0.7472527472527473,0.7562557924003708,0.5043327556325823,0.6409691629955947,0.5645004849660523,0.7771797631862217,0.7624076029567054,0.7697228144989339,0.8421052631578947,0.851063829787234,0.8465608465608466,0.7508305647840532,0.7458745874587459,0.7483443708609272,0.5258855585831063,0.5594202898550724,0.5421348314606741,0.70625,0.8,0.750207468879668,0.6260387811634349,0.6260387811634349,0.6260387811634349,0.8729411764705882,0.7978494623655914,0.8337078651685393,0.8362369337979094,0.7384615384615385,0.7843137254901961,0.5901639344262295,0.45569620253164556,0.5142857142857143,0.8363832077502691,0.8161764705882353,0.8261562998405103,0.8396793587174348,0.844758064516129,0.842211055276382,0.6337760910815939,0.5369774919614148,0.5813751087902524,0.47058823529411764,0.5871559633027523,0.5224489795918367,0.6643356643356644,0.7293666026871402,0.6953339432753889,0.07692307692307693,0.27586206896551724,0.12030075187969926,0.5365853658536586,0.43137254901960786,0.47826086956521746,0.7081081081081081,0.7443181818181818,0.7257617728531855,0.5654761904761905,0.5191256830601093,0.5413105413105412,0.5238095238095238,0.3235294117647059,0.39999999999999997,0.6741573033707865,0.5714285714285714,0.6185567010309277,0.9318181818181818,0.6507936507936508,0.7663551401869159,0.4444444444444444,0.26666666666666666,0.33333333333333337,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.6,0.1875,0.2857142857142857,0.5283018867924528,0.5490196078431373,0.5384615384615384,0.90625,0.7435897435897436,0.8169014084507042,0.3,0.17647058823529413,0.22222222222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,spacy_large,Keystroke errors 2%,1
4,0.9024853706359863,0.9984582483712139,0.9851027907438673,0.9896238651102465,0.987358152498507,0.9191536081445254,0.9191536081445254,0.7126436781609196,0.6666666666666666,0.6888888888888889,0.7475728155339806,0.8555555555555555,0.7979274611398963,0.5818181818181818,0.5289256198347108,0.5541125541125541,0.7623762376237624,0.8020833333333334,0.7817258883248732,0.7333333333333333,0.4782608695652174,0.5789473684210527,0.7475728155339806,0.7048054919908466,0.7255594817432273,0.764042330503547,0.7045494160711173,0.7358490566037735,0.6842105263157895,0.709090909090909,0.7379679144385026,0.7582417582417582,0.7479674796747967,0.5044404973357016,0.6255506607929515,0.5585054080629301,0.7662753468516542,0.7581837381203802,0.762208067940552,0.8624338624338624,0.8670212765957447,0.8647214854111406,0.7582781456953642,0.7557755775577558,0.7570247933884297,0.5283018867924528,0.5681159420289855,0.547486033519553,0.7431340872374798,0.8141592920353983,0.777027027027027,0.6358543417366946,0.628808864265928,0.6323119777158774,0.8564593301435407,0.7698924731182796,0.810872027180068,0.8551724137931035,0.7630769230769231,0.8065040650406504,0.5492957746478874,0.4936708860759494,0.52,0.8352941176470589,0.8203781512605042,0.8277689454160042,0.8662551440329218,0.8487903225806451,0.8574338085539714,0.6402214022140221,0.5578778135048231,0.5962199312714777,0.5084745762711864,0.5504587155963303,0.5286343612334802,0.6614310645724258,0.727447216890595,0.6928702010968921,0.07058823529411765,0.20689655172413793,0.10526315789473684,0.5833333333333334,0.4117647058823529,0.4827586206896552,0.6954314720812182,0.7784090909090909,0.7345844504021448,0.5348837209302325,0.5027322404371585,0.5183098591549296,0.4444444444444444,0.23529411764705882,0.30769230769230765,0.5,0.4666666666666667,0.4827586206896552,0.9534883720930233,0.6507936507936508,0.7735849056603774,0.5,0.26666666666666666,0.3478260869565218,0.4857142857142857,0.4473684210526316,0.4657534246575342,0.6,0.1875,0.2857142857142857,0.5918367346938775,0.5686274509803921,0.58,0.78125,0.6410256410256411,0.7042253521126761,0.2222222222222222,0.11764705882352941,0.15384615384615383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,spacy_large,Keystroke errors 2%,1
5,1.123833417892456,0.9983103071265281,0.9823377654296488,0.9877282250823107,0.9850256206158898,0.9142258370340801,0.9142258370340801,0.7118320610687023,0.6684587813620072,0.6894639556377079,0.7450980392156863,0.8444444444444444,0.7916666666666666,0.5803571428571429,0.5371900826446281,0.5579399141630901,0.7383177570093458,0.8229166666666666,0.7783251231527094,0.7623762376237624,0.4782608695652174,0.5877862595419847,0.7475728155339806,0.7048054919908466,0.7255594817432273,0.7463258785942493,0.689811320754717,0.7363636363636363,0.7105263157894737,0.7232142857142857,0.7320143884892086,0.7454212454212454,0.7386569872958257,0.5016835016835017,0.6563876651982379,0.568702290076336,0.750816104461371,0.7286166842661035,0.7395498392282958,0.8412698412698413,0.8457446808510638,0.8435013262599469,0.7959866220735786,0.7854785478547854,0.7906976744186046,0.49865951742627346,0.5391304347826087,0.5181058495821728,0.7074721780604134,0.7876106194690266,0.7453936348408712,0.6083815028901735,0.5831024930747922,0.5954738330975955,0.8333333333333334,0.7634408602150538,0.7968574635241303,0.8387096774193549,0.72,0.7748344370860928,0.5076923076923077,0.4177215189873418,0.4583333333333333,0.8370846730975349,0.8203781512605042,0.8286472148541115,0.8369781312127237,0.8487903225806451,0.8428428428428428,0.655831739961759,0.5514469453376206,0.5991266375545852,0.46564885496183206,0.5596330275229358,0.5083333333333333,0.6533575317604355,0.690978886756238,0.6716417910447761,0.0673076923076923,0.2413793103448276,0.10526315789473682,0.4864864864864865,0.35294117647058826,0.40909090909090917,0.671957671957672,0.7215909090909091,0.695890410958904,0.5280898876404494,0.5136612021857924,0.5207756232686982,0.3181818181818182,0.20588235294117646,0.25,0.5051546391752577,0.4666666666666667,0.48514851485148514,0.9166666666666666,0.6984126984126984,0.7927927927927927,0.5555555555555556,0.3333333333333333,0.4166666666666667,0.4186046511627907,0.47368421052631576,0.4444444444444444,0.6666666666666666,0.125,0.21052631578947367,0.625,0.5882352941176471,0.6060606060606061,0.8,0.6153846153846154,0.6956521739130435,0.3333333333333333,0.17647058823529413,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,spacy_large,Keystroke errors 2%,1
6,0.907759428024292,0.9982598319494853,0.9826285487393289,0.9876284545545246,0.9851221575359506,0.9142999750436736,0.9142999750436736,0.7203065134099617,0.6738351254480287,0.6962962962962963,0.7621359223300971,0.8722222222222222,0.8134715025906737,0.5982142857142857,0.5537190082644629,0.575107296137339,0.7575757575757576,0.78125,0.7692307692307692,0.7333333333333333,0.4782608695652174,0.5789473684210527,0.7536585365853659,0.7070938215102975,0.7296340023612751,0.7528331492997037,0.7002612481857765,0.7310924369747899,0.7631578947368421,0.7467811158798283,0.744954128440367,0.7435897435897436,0.7442713107241062,0.5200698080279232,0.6563876651982379,0.5803310613437197,0.7689804772234273,0.7486800422386484,0.7586944890315676,0.8333333333333334,0.8776595744680851,0.8549222797927462,0.7649006622516556,0.7623762376237624,0.7636363636363637,0.49586776859504134,0.5217391304347826,0.5084745762711864,0.7115987460815048,0.8035398230088495,0.7547797173732336,0.6264044943820225,0.6177285318559557,0.6220362622036262,0.8414918414918415,0.7763440860215054,0.807606263982103,0.8432055749128919,0.7446153846153846,0.7908496732026142,0.5915492957746479,0.5316455696202531,0.56,0.8483206933911159,0.8224789915966386,0.8351999999999999,0.8627858627858628,0.8366935483870968,0.849539406345957,0.6641366223908919,0.5627009646302251,0.6092254134029591,0.4921875,0.5779816513761468,0.5316455696202532,0.6517857142857143,0.7005758157389635,0.6753006475485661,0.050505050505050504,0.1724137931034483,0.078125,0.475,0.37254901960784315,0.4175824175824176,0.7189189189189189,0.7556818181818182,0.736842105263158,0.5304878048780488,0.47540983606557374,0.5014409221902016,0.4117647058823529,0.20588235294117646,0.2745098039215686,0.5306122448979592,0.49523809523809526,0.5123152709359605,0.88,0.6984126984126984,0.7787610619469026,0.5714285714285714,0.26666666666666666,0.36363636363636365,0.4634146341463415,0.5,0.48101265822784817,0.6666666666666666,0.125,0.21052631578947367,0.6458333333333334,0.6078431372549019,0.6262626262626263,0.8235294117647058,0.717948717948718,0.767123287671233,0.21428571428571427,0.17647058823529413,0.1935483870967742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,spacy_large,Keystroke errors 2%,1
7,0.9039711952209473,0.9983587805241956,0.9837140019860973,0.9883268482490273,0.9860150301099885,0.9141915838865871,0.9141915838865871,0.7272727272727273,0.6881720430107527,0.7071823204419889,0.755868544600939,0.8944444444444445,0.8193384223918576,0.6126126126126126,0.5619834710743802,0.5862068965517242,0.77,0.8020833333333334,0.7857142857142857,0.75,0.484472049689441,0.5886792452830188,0.7577937649880095,0.7231121281464531,0.7400468384074941,0.7495495495495496,0.6924461475933344,0.6814159292035398,0.6754385964912281,0.6784140969162995,0.7588785046728972,0.7435897435897436,0.7511563367252545,0.48990825688073397,0.5881057268722467,0.5345345345345345,0.7595212187159956,0.737064413938754,0.7481243301178994,0.8421052631578947,0.851063829787234,0.8465608465608466,0.7491525423728813,0.7293729372937293,0.7391304347826086,0.5140449438202247,0.5304347826086957,0.5221112696148359,0.7095761381475667,0.8,0.752079866888519,0.611032531824611,0.5983379501385041,0.6046186144156753,0.8567961165048543,0.7591397849462366,0.8050171037628278,0.852112676056338,0.7446153846153846,0.7947454844006568,0.5675675675675675,0.5316455696202531,0.5490196078431372,0.8404710920770878,0.8245798319327731,0.8324496288441144,0.8464566929133859,0.8669354838709677,0.8565737051792829,0.6348920863309353,0.567524115755627,0.599320882852292,0.49606299212598426,0.5779816513761468,0.5338983050847458,0.6480836236933798,0.7140115163147792,0.6794520547945205,0.052083333333333336,0.1724137931034483,0.08,0.4222222222222222,0.37254901960784315,0.3958333333333333,0.6983240223463687,0.7102272727272727,0.704225352112676,0.5406976744186046,0.5081967213114754,0.5239436619718311,0.47619047619047616,0.29411764705882354,0.3636363636363637,0.5408163265306123,0.5047619047619047,0.522167487684729,0.8913043478260869,0.6507936507936508,0.7522935779816514,0.4444444444444444,0.26666666666666666,0.33333333333333337,0.4864864864864865,0.47368421052631576,0.4799999999999999,0.6666666666666666,0.125,0.21052631578947367,0.6041666666666666,0.5686274509803921,0.5858585858585857,0.7428571428571429,0.6666666666666666,0.7027027027027027,0.2,0.11764705882352941,0.14814814814814817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,spacy_large,Keystroke errors 2%,1
8,0.9001414775848389,0.9986089030206677,0.9835284778725938,0.9889254714157438,0.9862195910651211,0.915556885630206,0.915556885630206,0.7080979284369114,0.6738351254480287,0.6905417814508724,0.7475247524752475,0.8388888888888889,0.7905759162303665,0.6068376068376068,0.5867768595041323,0.5966386554621848,0.7403846153846154,0.8020833333333334,0.77,0.7129629629629629,0.4782608695652174,0.5724907063197026,0.7367149758454107,0.6979405034324943,0.7168037602820212,0.7601068773234202,0.6998665041499796,0.7636363636363637,0.7368421052631579,0.7499999999999999,0.7472924187725631,0.7582417582417582,0.7527272727272727,0.4897260273972603,0.6299559471365639,0.5510597302504817,0.7746947835738068,0.737064413938754,0.7554112554112554,0.824468085106383,0.824468085106383,0.824468085106383,0.75,0.7425742574257426,0.746268656716418,0.48284960422163586,0.5304347826086957,0.505524861878453,0.7428115015974441,0.8230088495575221,0.7808564231738035,0.6308345120226309,0.6177285318559557,0.6242127361791463,0.8467336683417085,0.7247311827956989,0.7809965237543453,0.8586572438162544,0.7476923076923077,0.7993421052631577,0.5797101449275363,0.5063291139240507,0.5405405405405406,0.8336842105263158,0.8319327731092437,0.8328075709779179,0.8356435643564356,0.8508064516129032,0.8431568431568431,0.6623853211009174,0.5803858520900321,0.6186803770351328,0.5153846153846153,0.6146788990825688,0.5606694560669455,0.6607142857142857,0.710172744721689,0.6845513413506013,0.09375,0.3103448275862069,0.14400000000000002,0.3877551020408163,0.37254901960784315,0.38,0.7052631578947368,0.7613636363636364,0.7322404371584699,0.5792682926829268,0.5191256830601093,0.547550432276657,0.45454545454545453,0.29411764705882354,0.35714285714285715,0.5632183908045977,0.4666666666666667,0.5104166666666667,0.9111111111111111,0.6507936507936508,0.7592592592592592,0.5714285714285714,0.26666666666666666,0.36363636363636365,0.391304347826087,0.47368421052631576,0.42857142857142855,0.4,0.125,0.19047619047619047,0.6041666666666666,0.5686274509803921,0.5858585858585857,0.8787878787878788,0.7435897435897436,0.8055555555555556,0.13333333333333333,0.11764705882352941,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,spacy_large,Keystroke errors 2%,1
