,wall_time,token_acc,token_p,token_r,token_f,pos_acc,tag_acc,ents_p,ents_r,ents_f,ents_per_type_PER_p,ents_per_type_PER_r,ents_per_type_PER_f,ents_per_type_LOC_p,ents_per_type_LOC_r,ents_per_type_LOC_f,ents_per_type_MISC_p,ents_per_type_MISC_r,ents_per_type_MISC_f,ents_per_type_ORG_p,ents_per_type_ORG_r,ents_per_type_ORG_f,ents_excl_MISC_ents_p,ents_excl_MISC_ents_r,ents_excl_MISC_ents_f,k,model,augmenter,i
0,2.648012399673462,0.999150891563858,0.996506637388961,0.9961089494163424,0.9963077537171939,0.0,0.9774714021679405,0.7527675276752768,0.7311827956989247,0.7418181818181818,0.8655913978494624,0.8944444444444445,0.8797814207650273,0.7387387387387387,0.8541666666666666,0.7922705314009663,0.6212121212121212,0.6776859504132231,0.6482213438735178,0.7345132743362832,0.515527950310559,0.6058394160583942,0.7951219512195122,0.7459954233409611,0.769775678866588,0,dacy_small,No augmentation,0
0,2.6208689212799072,0.9985092426952892,0.9835268433065396,0.9888257008879577,0.9861691542288558,0.0,0.9330339321357285,0.6802120141342756,0.6899641577060932,0.6850533807829181,0.7548076923076923,0.8722222222222222,0.8092783505154639,0.6846846846846847,0.7916666666666666,0.7342995169082125,0.5303030303030303,0.5785123966942148,0.5533596837944664,0.7130434782608696,0.5093167701863354,0.5942028985507246,0.7258064516129032,0.7208237986270023,0.7233065442020666,0,dacy_small,Keystroke errors 2%,1
1,2.4854860305786133,0.9983092988562904,0.9834193804606831,0.9882270777212412,0.9858173675043543,0.0,0.9276549003944281,0.6626712328767124,0.6935483870967742,0.6777583187390543,0.7417840375586855,0.8777777777777778,0.8040712468193384,0.6752136752136753,0.8229166666666666,0.7417840375586855,0.5244755244755245,0.6198347107438017,0.5681818181818181,0.6756756756756757,0.4658385093167702,0.5514705882352942,0.7074829931972789,0.7139588100686499,0.7107061503416856,1,dacy_small,Keystroke errors 2%,1
2,3.454103469848633,0.9981600278482271,0.9822297230219399,0.9871296019155942,0.984673566878981,0.0,0.9293383270911361,0.6540447504302926,0.6810035842293907,0.6672519754170325,0.7285714285714285,0.85,0.7846153846153846,0.6666666666666666,0.7708333333333334,0.714975845410628,0.5314685314685315,0.628099173553719,0.5757575757575758,0.6581196581196581,0.4782608695652174,0.5539568345323741,0.6940639269406392,0.6956521739130435,0.6948571428571428,2,dacy_small,Keystroke errors 2%,1
3,2.9459388256073,0.9981109564525751,0.9815421256326288,0.9868302903322359,0.9841791044776119,0.0,0.9303974435789895,0.6724738675958188,0.6917562724014337,0.6819787985865724,0.7475247524752475,0.8388888888888889,0.7905759162303665,0.7181818181818181,0.8229166666666666,0.7669902912621359,0.5238095238095238,0.6363636363636364,0.5746268656716419,0.6869565217391305,0.4906832298136646,0.5724637681159421,0.7236533957845434,0.7070938215102975,0.7152777777777778,3,dacy_small,Keystroke errors 2%,1
4,2.98152232170105,0.9979600975172894,0.9822244289970209,0.9868302903322359,0.9845219728263574,0.0,0.9308949183031031,0.681260945709282,0.6971326164874552,0.6891054030115147,0.7535545023696683,0.8833333333333333,0.8132992327365729,0.6666666666666666,0.8333333333333334,0.7407407407407408,0.5454545454545454,0.6446280991735537,0.5909090909090908,0.7422680412371134,0.4472049689440994,0.558139534883721,0.7266355140186916,0.7116704805491991,0.7190751445086706,4,dacy_small,Keystroke errors 2%,1
5,3.000016212463379,0.9983094669848847,0.9833217512161223,0.9882270777212412,0.9857683121019108,0.0,0.9327605155360176,0.6494845360824743,0.6774193548387096,0.6631578947368422,0.7562189054726368,0.8444444444444444,0.7979002624671916,0.6528925619834711,0.8229166666666666,0.728110599078341,0.5099337748344371,0.6363636363636364,0.5661764705882354,0.6422018348623854,0.43478260869565216,0.5185185185185185,0.6983758700696056,0.6887871853546911,0.6935483870967741,5,dacy_small,Keystroke errors 2%,1
6,2.8731961250305176,0.9983587805241956,0.9842105263157894,0.9888257008879577,0.9865127158711989,0.0,0.9320747178104085,0.6666666666666666,0.6845878136200717,0.6755083996463307,0.7574257425742574,0.85,0.8010471204188483,0.6990291262135923,0.75,0.7236180904522612,0.503448275862069,0.6033057851239669,0.5488721804511278,0.6829268292682927,0.5217391304347826,0.5915492957746479,0.7219626168224299,0.7070938215102975,0.7144508670520231,6,dacy_small,Keystroke errors 2%,1
7,2.7777132987976074,0.9984614621073006,0.9809712586719525,0.9875286840267385,0.9842390493710536,0.0,0.9273453093812375,0.6790123456790124,0.6899641577060932,0.6844444444444445,0.7281553398058253,0.8333333333333334,0.7772020725388602,0.7211538461538461,0.78125,0.7499999999999999,0.5869565217391305,0.6694214876033058,0.6254826254826255,0.6638655462184874,0.4906832298136646,0.5642857142857143,0.7086247086247086,0.6956521739130435,0.7020785219399538,7,dacy_small,Keystroke errors 2%,1
8,2.953040599822998,0.9981580126449943,0.9843967402106937,0.9882270777212412,0.9863081901916854,0.0,0.9302697302697303,0.6597938144329897,0.6881720430107527,0.6736842105263158,0.7598039215686274,0.8611111111111112,0.8072916666666666,0.6637931034482759,0.8020833333333334,0.7264150943396228,0.5165562913907285,0.6446280991735537,0.5735294117647058,0.6666666666666666,0.45962732919254656,0.5441176470588234,0.7099767981438515,0.700228832951945,0.7050691244239632,8,dacy_small,Keystroke errors 2%,1
