,token_acc,token_p,token_r,token_f,pos_acc,ents_p,ents_r,ents_f,ents_per_type_MISC_p,ents_per_type_MISC_r,ents_per_type_MISC_f,ents_per_type_PER_p,ents_per_type_PER_r,ents_per_type_PER_f,ents_per_type_LOC_p,ents_per_type_LOC_r,ents_per_type_LOC_f,ents_per_type_ORG_p,ents_per_type_ORG_r,ents_per_type_ORG_f,k,model,augmenter,i
0,0.999150891563858,0.996506637388961,0.9961089494163424,0.9963077537171939,0.0,0.8547794117647058,0.8333333333333334,0.8439201451905626,0.7709923664122137,0.8347107438016529,0.8015873015873016,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.7981651376146789,0.90625,0.848780487804878,0.8790322580645161,0.6770186335403726,0.7649122807017543,0,dacy_large,No augmentation,0
0,0.9974934879834865,0.9591136385920188,0.9759553028035518,0.9674611808920976,0.0,0.7734082397003745,0.7401433691756273,0.7564102564102565,0.6821705426356589,0.7272727272727273,0.704,0.837696335078534,0.8888888888888888,0.862533692722372,0.7547169811320755,0.8333333333333334,0.7920792079207922,0.7870370370370371,0.5279503105590062,0.6319702602230484,0,dacy_large,Keyboard augmentation 0.05%,1
1,0.9969881005283168,0.9631781037707985,0.9760550733313379,0.969573835480674,0.0,0.7661141804788214,0.7455197132616488,0.7556766575840146,0.6666666666666666,0.7107438016528925,0.688,0.8440860215053764,0.8722222222222222,0.8579234972677596,0.7222222222222222,0.8125,0.7647058823529411,0.7916666666666666,0.5900621118012422,0.6761565836298933,1,dacy_large,Keyboard augmentation 0.05%,1
2,0.9973367528112055,0.9630103295622233,0.9766536964980544,0.9697840301169011,0.0,0.7583025830258303,0.7365591397849462,0.7472727272727274,0.6612903225806451,0.6776859504132231,0.6693877551020408,0.8440860215053764,0.8722222222222222,0.8579234972677596,0.77,0.8020833333333334,0.7857142857142857,0.7196969696969697,0.5900621118012422,0.6484641638225257,2,dacy_large,Keyboard augmentation 0.05%,1
3,0.9969916654337426,0.9607631035500049,0.9747580564701187,0.9677099841521394,0.0,0.7638376383763837,0.7419354838709677,0.7527272727272728,0.7083333333333334,0.7024793388429752,0.7053941908713693,0.798941798941799,0.8388888888888889,0.8184281842818428,0.7850467289719626,0.875,0.8275862068965517,0.746031746031746,0.5838509316770186,0.6550522648083623,3,dacy_large,Keyboard augmentation 0.05%,1
4,0.9973799990113205,0.9669657824672123,0.978349795470418,0.9726244792699861,0.0,0.7509090909090909,0.7401433691756273,0.7454873646209387,0.6692307692307692,0.71900826446281,0.6932270916334662,0.8102564102564103,0.8777777777777778,0.8426666666666666,0.6875,0.8020833333333334,0.7403846153846154,0.8053097345132744,0.5652173913043478,0.6642335766423357,4,dacy_large,Keyboard augmentation 0.05%,1
0,0.9929242996995251,0.904427333974976,0.9375436496059064,0.9206877969921129,0.0,0.6031434184675835,0.5501792114695341,0.5754451733833177,0.5075757575757576,0.5537190082644629,0.5296442687747036,0.6326530612244898,0.6888888888888889,0.6595744680851063,0.6538461538461539,0.53125,0.5862068965517242,0.6310679611650486,0.40372670807453415,0.49242424242424254,0,dacy_large,Keyboard augmentation 0.15%,2
1,0.9923545920836156,0.8991548213599693,0.9340516811333932,0.9162711034988988,0.0,0.6238003838771593,0.5824372759856631,0.6024096385542168,0.5037593984962406,0.5537190082644629,0.5275590551181102,0.6810810810810811,0.7,0.6904109589041096,0.6666666666666666,0.5625,0.6101694915254238,0.639344262295082,0.484472049689441,0.5512367491166078,1,dacy_large,Keyboard augmentation 0.15%,2
2,0.9917619693739097,0.8985869460732481,0.9326548937443879,0.9153040242827768,0.0,0.5926640926640927,0.5501792114695341,0.570631970260223,0.48120300751879697,0.5289256198347108,0.5039370078740157,0.643979057591623,0.6833333333333333,0.6630727762803234,0.6,0.5625,0.5806451612903225,0.6346153846153846,0.40993788819875776,0.4981132075471697,2,dacy_large,Keyboard augmentation 0.15%,2
3,0.9929941537420882,0.9018328375395835,0.9376434201336925,0.9193895519467815,0.0,0.598825831702544,0.5483870967741935,0.5724976613657624,0.4628099173553719,0.4628099173553719,0.4628099173553719,0.6649484536082474,0.7166666666666667,0.6898395721925134,0.6888888888888889,0.6458333333333334,0.6666666666666667,0.5566037735849056,0.36645962732919257,0.44194756554307113,3,dacy_large,Keyboard augmentation 0.15%,2
