,token_acc,token_p,token_r,token_f,pos_acc,ents_p,ents_r,ents_f,ents_per_type_LOC_p,ents_per_type_LOC_r,ents_per_type_LOC_f,ents_per_type_PER_p,ents_per_type_PER_r,ents_per_type_PER_f,ents_per_type_MISC_p,ents_per_type_MISC_r,ents_per_type_MISC_f,ents_per_type_ORG_p,ents_per_type_ORG_r,ents_per_type_ORG_f,k,model,augmenter,i
0,0.999150891563858,0.996506637388961,0.9961089494163424,0.9963077537171939,0.0,0.855072463768116,0.6344086021505376,0.728395061728395,0.7889908256880734,0.8958333333333334,0.8390243902439025,0.9175824175824175,0.9277777777777778,0.9226519337016573,0.0,0.0,0.0,0.8211382113821138,0.6273291925465838,0.7112676056338029,0,danlp_bert,No augmentation,0
0,0.9972405637134127,0.9614742014742015,0.9760550733313379,0.9687097732448758,0.0,0.5402930402930403,0.5286738351254481,0.5344202898550724,0.6509433962264151,0.71875,0.6831683168316831,0.5503597122302158,0.85,0.6681222707423581,0.0,0.0,0.0,0.4506172839506173,0.453416149068323,0.4520123839009288,0,danlp_bert,Keyboard augmentation 5%,1
1,0.9966413118640719,0.9607167470709855,0.9735608101366856,0.9670961347869177,0.0,0.5676190476190476,0.5340501792114696,0.5503231763619575,0.7102803738317757,0.7916666666666666,0.7487684729064038,0.5526315789473685,0.8166666666666667,0.6591928251121076,0.0,0.0,0.0,0.4934210526315789,0.4658385093167702,0.4792332268370607,1,danlp_bert,Keyboard augmentation 5%,1
2,0.997334649555775,0.9649502805946638,0.9778509428314875,0.9713577799801785,0.0,0.5890688259109311,0.521505376344086,0.5532319391634981,0.6831683168316832,0.71875,0.700507614213198,0.5797665369649806,0.8277777777777777,0.6819221967963387,0.0,0.0,0.0,0.5367647058823529,0.453416149068323,0.4915824915824916,2,danlp_bert,Keyboard augmentation 5%,1
3,0.9971869910674629,0.9635826771653543,0.9767534670258405,0.9701233711539414,0.0,0.5476635514018692,0.525089605734767,0.5361390667886551,0.6796116504854369,0.7291666666666666,0.7035175879396984,0.5105633802816901,0.8055555555555556,0.625,0.0,0.0,0.0,0.527027027027027,0.484472049689441,0.5048543689320387,3,danlp_bert,Keyboard augmentation 5%,1
4,0.9970968853023667,0.9582965361593563,0.9743589743589743,0.9662610072227168,0.0,0.5520628683693517,0.503584229390681,0.5267104029990628,0.6470588235294118,0.6875,0.6666666666666667,0.5647058823529412,0.8,0.6620689655172414,0.0,0.0,0.0,0.46710526315789475,0.4409937888198758,0.4536741214057508,4,danlp_bert,Keyboard augmentation 5%,1
5,0.9976312672720095,0.9656360771957464,0.9784495659982041,0.9720005946776352,0.0,0.5728155339805825,0.5286738351254481,0.5498602050326188,0.6732673267326733,0.7083333333333334,0.6903553299492386,0.5551181102362205,0.7833333333333333,0.6497695852534563,0.0,0.0,0.0,0.5375,0.5341614906832298,0.5358255451713395,5,danlp_bert,Keyboard augmentation 5%,1
6,0.9971881012283558,0.9629083038173947,0.9764541554424823,0.9696339228216179,0.0,0.5963855421686747,0.532258064516129,0.5625,0.6981132075471698,0.7708333333333334,0.7326732673267327,0.57421875,0.8166666666666667,0.6743119266055045,0.0,0.0,0.0,0.5588235294117647,0.4720496894409938,0.5117845117845118,6,danlp_bert,Keyboard augmentation 5%,1
7,0.9969370615551822,0.963849487785658,0.9762546143869101,0.9700123915737299,0.0,0.5616161616161616,0.4982078853046595,0.5280151946818613,0.7070707070707071,0.7291666666666666,0.717948717948718,0.5269230769230769,0.7611111111111111,0.6227272727272728,0.0,0.0,0.0,0.5220588235294118,0.4409937888198758,0.47811447811447816,7,danlp_bert,Keyboard augmentation 5%,1
8,0.9972875671943581,0.9633090694471769,0.9770527786091988,0.9701322502352767,0.0,0.5883534136546185,0.525089605734767,0.5549242424242424,0.7019230769230769,0.7604166666666666,0.73,0.5708502024291497,0.7833333333333333,0.6604215456674473,0.0,0.0,0.0,0.5374149659863946,0.4906832298136646,0.512987012987013,8,danlp_bert,Keyboard augmentation 5%,1
9,0.9976354679802955,0.9642225280125811,0.9787488775815624,0.9714314007030747,0.0,0.560546875,0.514336917562724,0.5364485981308411,0.7058823529411765,0.75,0.7272727272727272,0.5645161290322581,0.7777777777777778,0.6542056074766356,0.0,0.0,0.0,0.46296296296296297,0.4658385093167702,0.4643962848297214,9,danlp_bert,Keyboard augmentation 5%,1
10,0.9973921173055159,0.9597565763643502,0.9755562206924074,0.9675919053980505,0.0,0.5708661417322834,0.5197132616487455,0.5440900562851781,0.69,0.71875,0.7040816326530612,0.5474452554744526,0.8333333333333334,0.6607929515418502,0.0,0.0,0.0,0.5298507462686567,0.4409937888198758,0.48135593220338985,10,danlp_bert,Keyboard augmentation 5%,1
11,0.997239203312956,0.9615535889872173,0.9756559912201935,0.968553459119497,0.0,0.5357142857142857,0.510752688172043,0.5229357798165138,0.6283185840707964,0.7395833333333334,0.6794258373205742,0.5223880597014925,0.7777777777777778,0.625,0.0,0.0,0.0,0.4900662251655629,0.45962732919254656,0.4743589743589743,11,danlp_bert,Keyboard augmentation 5%,1
12,0.9967953458561356,0.958620011794771,0.9730619574977551,0.9657869980690202,0.0,0.5685884691848907,0.5125448028673835,0.5391140433553252,0.693069306930693,0.7291666666666666,0.7106598984771573,0.5542635658914729,0.7944444444444444,0.6529680365296804,0.0,0.0,0.0,0.5069444444444444,0.453416149068323,0.4786885245901639,12,danlp_bert,Keyboard augmentation 5%,1
13,0.9973309608540925,0.966183574879227,0.9777511723037015,0.9719329564613706,0.0,0.5526315789473685,0.5268817204301075,0.5394495412844037,0.6486486486486487,0.75,0.6956521739130435,0.5359712230215827,0.8277777777777777,0.6506550218340611,0.0,0.0,0.0,0.5104895104895105,0.453416149068323,0.4802631578947369,13,danlp_bert,Keyboard augmentation 5%,1
14,0.9972419227738377,0.9605108055009823,0.9755562206924074,0.9679750532099193,0.0,0.5651340996168582,0.5286738351254481,0.5462962962962964,0.6576576576576577,0.7604166666666666,0.7053140096618357,0.571969696969697,0.8388888888888889,0.6801801801801802,0.0,0.0,0.0,0.48299319727891155,0.4409937888198758,0.461038961038961,14,danlp_bert,Keyboard augmentation 5%,1
15,0.9963948836979604,0.9590591477216809,0.9722637932754664,0.9656163297661513,0.0,0.537864077669903,0.496415770609319,0.5163094128611371,0.6504854368932039,0.6979166666666666,0.6733668341708543,0.5182481751824818,0.7888888888888889,0.6255506607929515,0.0,0.0,0.0,0.4927536231884058,0.422360248447205,0.45484949832775917,15,danlp_bert,Keyboard augmentation 5%,1
16,0.9972389310718863,0.9618448224997541,0.9758555322757657,0.9687995245641837,0.0,0.5358565737051793,0.482078853046595,0.5075471698113208,0.6181818181818182,0.7083333333333334,0.6601941747572815,0.5408560311284046,0.7722222222222223,0.6361556064073227,0.0,0.0,0.0,0.45925925925925926,0.38509316770186336,0.41891891891891886,16,danlp_bert,Keyboard augmentation 5%,1
17,0.9970882889996546,0.9620116130302135,0.9752569091090492,0.9685889813713833,0.0,0.5583657587548638,0.514336917562724,0.5354477611940299,0.7142857142857143,0.7291666666666666,0.7216494845360826,0.5454545454545454,0.8,0.6486486486486486,0.0,0.0,0.0,0.48026315789473684,0.453416149068323,0.46645367412140576,17,danlp_bert,Keyboard augmentation 5%,1
18,0.9975352459824509,0.9633162863886703,0.977252319664771,0.9702342627903521,0.0,0.5801980198019802,0.525089605734767,0.5512699905926624,0.6634615384615384,0.71875,0.6900000000000001,0.5803921568627451,0.8222222222222222,0.6804597701149425,0.0,0.0,0.0,0.5205479452054794,0.4720496894409938,0.495114006514658,18,danlp_bert,Keyboard augmentation 5%,1
19,0.9969854212997282,0.9641308632242807,0.976154843859124,0.9701055971444152,0.0,0.5801526717557252,0.5448028673835126,0.5619223659889094,0.7722772277227723,0.8125,0.7918781725888325,0.5542635658914729,0.7944444444444444,0.6529680365296804,0.0,0.0,0.0,0.503030303030303,0.515527950310559,0.50920245398773,19,danlp_bert,Keyboard augmentation 5%,1
0,0.9929819466627946,0.9045467653561473,0.9388406664671256,0.9213747184960345,0.0,0.3700440528634361,0.3010752688172043,0.33201581027667987,0.4803921568627451,0.5104166666666666,0.494949494949495,0.322463768115942,0.49444444444444446,0.39035087719298245,0.0,0.0,0.0,0.39473684210526316,0.18633540372670807,0.2531645569620253,0,danlp_bert,Keyboard augmentation 15%,2
1,0.9934766851896593,0.9060009601536246,0.941434700189564,0.9233780213328115,0.0,0.34660421545667447,0.26523297491039427,0.300507614213198,0.5180722891566265,0.4479166666666667,0.4804469273743016,0.2936802973977695,0.4388888888888889,0.3518930957683742,0.0,0.0,0.0,0.3466666666666667,0.16149068322981366,0.22033898305084745,1,danlp_bert,Keyboard augmentation 15%,2
2,0.9942235486666025,0.9034172489709965,0.9416342412451362,0.9221299462628236,0.0,0.3724604966139955,0.2956989247311828,0.3296703296703297,0.47474747474747475,0.4895833333333333,0.48205128205128206,0.35094339622641507,0.5166666666666667,0.41797752808988764,0.0,0.0,0.0,0.31645569620253167,0.15527950310559005,0.20833333333333334,2,danlp_bert,Keyboard augmentation 15%,2
3,0.9923612454070779,0.8992419153632089,0.934949615883468,0.9167481901780473,0.0,0.34872979214780603,0.27060931899641577,0.3047426841574168,0.3723404255319149,0.3645833333333333,0.3684210526315789,0.359375,0.5111111111111111,0.4220183486238532,0.0,0.0,0.0,0.2891566265060241,0.14906832298136646,0.19672131147540983,3,danlp_bert,Keyboard augmentation 15%,2
4,0.9932071108541697,0.8978849650684276,0.936047091689115,0.9165689722547871,0.0,0.3563218390804598,0.2777777777777778,0.31218529707955694,0.40217391304347827,0.3854166666666667,0.39361702127659576,0.34558823529411764,0.5222222222222223,0.415929203539823,0.0,0.0,0.0,0.3380281690140845,0.14906832298136646,0.20689655172413796,4,danlp_bert,Keyboard augmentation 15%,2
5,0.9932406334492082,0.9021676577786304,0.9384415843559812,0.9199471856814514,0.0,0.3561320754716981,0.27060931899641577,0.3075356415478615,0.4895833333333333,0.4895833333333333,0.4895833333333333,0.31640625,0.45,0.371559633027523,0.0,0.0,0.0,0.3194444444444444,0.14285714285714285,0.19742489270386263,5,danlp_bert,Keyboard augmentation 15%,2
6,0.9936170212765958,0.9062079569479147,0.9408360770228474,0.9231974154388369,0.0,0.3619489559164733,0.27956989247311825,0.3154701718907988,0.43956043956043955,0.4166666666666667,0.42780748663101603,0.3132075471698113,0.46111111111111114,0.3730337078651685,0.0,0.0,0.0,0.44,0.20496894409937888,0.2796610169491526,6,danlp_bert,Keyboard augmentation 15%,2
7,0.9928905336969224,0.9119040711730007,0.9408360770228474,0.9261441759968572,0.0,0.3547619047619048,0.2670250896057348,0.30470347648261764,0.4782608695652174,0.4583333333333333,0.4680851063829787,0.31746031746031744,0.4444444444444444,0.37037037037037035,0.0,0.0,0.0,0.32894736842105265,0.15527950310559005,0.2109704641350211,7,danlp_bert,Keyboard augmentation 15%,2
8,0.9934204160619255,0.9053157742958762,0.9396388306894143,0.9221580338783902,0.0,0.3548387096774194,0.2956989247311828,0.3225806451612903,0.5232558139534884,0.46875,0.4945054945054945,0.3096085409252669,0.48333333333333334,0.37744034707158347,0.0,0.0,0.0,0.336734693877551,0.20496894409937888,0.2548262548262548,8,danlp_bert,Keyboard augmentation 15%,2
9,0.9926477701460771,0.9000288101411696,0.9350493864112541,0.917204932472108,0.0,0.36711711711711714,0.2921146953405018,0.32534930139720564,0.5357142857142857,0.46875,0.5,0.32014388489208634,0.49444444444444446,0.388646288209607,0.0,0.0,0.0,0.35365853658536583,0.18012422360248448,0.23868312757201646,9,danlp_bert,Keyboard augmentation 15%,2
10,0.9928440189536796,0.9026404224675948,0.9379427317170508,0.9199530286720814,0.0,0.31403118040089084,0.25268817204301075,0.2800397219463754,0.40594059405940597,0.4270833333333333,0.416243654822335,0.2673611111111111,0.42777777777777776,0.32905982905982906,0.0,0.0,0.0,0.38333333333333336,0.14285714285714285,0.20814479638009048,10,danlp_bert,Keyboard augmentation 15%,2
