,token_acc,token_p,token_r,token_f,pos_acc,ents_p,ents_r,ents_f,ents_per_type_PER_p,ents_per_type_PER_r,ents_per_type_PER_f,ents_per_type_MISC_p,ents_per_type_MISC_r,ents_per_type_MISC_f,ents_per_type_LOC_p,ents_per_type_LOC_r,ents_per_type_LOC_f,ents_per_type_ORG_p,ents_per_type_ORG_r,ents_per_type_ORG_f,k,model,augmenter,i
0,0.999150891563858,0.996506637388961,0.9961089494163424,0.9963077537171939,0.9630406552791929,0.7898832684824902,0.7275985663082437,0.7574626865671642,0.826530612244898,0.9,0.8617021276595744,0.6846846846846847,0.628099173553719,0.6551724137931034,0.8018867924528302,0.8854166666666666,0.8415841584158416,0.8217821782178217,0.515527950310559,0.6335877862595419,0,spacy_large,No augmentation,0
0,0.9970305849747599,0.966347577222935,0.9769530080814127,0.9716213534431434,0.8496758104738155,0.6165413533834586,0.5878136200716846,0.6018348623853211,0.6531531531531531,0.8055555555555556,0.7213930348258707,0.5045045045045045,0.4628099173553719,0.48275862068965514,0.6382978723404256,0.625,0.631578947368421,0.638095238095238,0.4161490683229814,0.5037593984962406,0,spacy_large,Keyboard augmentation 5%,1
1,0.9972288202692002,0.9678247137781287,0.978349795470418,0.9730587943438354,0.8496334347414094,0.6108007448789572,0.5878136200716846,0.5990867579908676,0.6405529953917051,0.7722222222222223,0.7002518891687658,0.5423728813559322,0.5289256198347108,0.5355648535564854,0.62,0.6458333333333334,0.6326530612244898,0.6176470588235294,0.391304347826087,0.47908745247148293,1,spacy_large,Keyboard augmentation 5%,1
2,0.9968316831683168,0.966245558626135,0.9767534670258405,0.9714710989828828,0.852539159932156,0.6178107606679035,0.5967741935483871,0.6071103008204193,0.6380090497737556,0.7833333333333333,0.7032418952618454,0.43902439024390244,0.4462809917355372,0.4426229508196721,0.7446808510638298,0.7291666666666666,0.7368421052631579,0.6732673267326733,0.422360248447205,0.5190839694656488,2,spacy_large,Keyboard augmentation 5%,1
3,0.9968366943455912,0.9644264879779267,0.9764541554424823,0.970403053889247,0.8468055417123493,0.6163873370577281,0.5931899641577061,0.604566210045662,0.6391304347826087,0.8166666666666667,0.7170731707317074,0.5,0.49586776859504134,0.4979253112033195,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.6153846153846154,0.34782608695652173,0.4444444444444444,3,spacy_large,Keyboard augmentation 5%,1
4,0.9975750977384075,0.9703791469194313,0.980544747081712,0.9754354622599375,0.8534676172907214,0.5928705440900562,0.5663082437275986,0.5792850595783684,0.6177777777777778,0.7722222222222223,0.6864197530864197,0.4649122807017544,0.4380165289256198,0.451063829787234,0.6632653061224489,0.6770833333333334,0.6701030927835052,0.6145833333333334,0.36645962732919257,0.4591439688715953,4,spacy_large,Keyboard augmentation 5%,1
5,0.9968316831683168,0.9653572838531386,0.9758555322757657,0.9705780203423469,0.8446795767618287,0.6135922330097088,0.5663082437275986,0.5890027958993476,0.6333333333333333,0.7388888888888889,0.6820512820512821,0.4473684210526316,0.4214876033057851,0.4340425531914894,0.7078651685393258,0.65625,0.681081081081081,0.6764705882352942,0.42857142857142855,0.5247148288973384,5,spacy_large,Keyboard augmentation 5%,1
6,0.996787108892294,0.9632439889633425,0.9752569091090492,0.9692132269099201,0.8483487977651402,0.6078431372549019,0.5555555555555556,0.5805243445692885,0.6507177033492823,0.7555555555555555,0.699228791773779,0.4830508474576271,0.47107438016528924,0.47698744769874474,0.651685393258427,0.6041666666666666,0.627027027027027,0.6276595744680851,0.36645962732919257,0.4627450980392157,6,spacy_large,Keyboard augmentation 5%,1
7,0.9969913686806411,0.9607592446892211,0.9746582859423326,0.9676588579069882,0.8469509764846552,0.60727969348659,0.568100358422939,0.5870370370370369,0.6342592592592593,0.7611111111111111,0.6919191919191919,0.4358974358974359,0.4214876033057851,0.42857142857142855,0.717391304347826,0.6875,0.702127659574468,0.6494845360824743,0.391304347826087,0.48837209302325585,7,spacy_large,Keyboard augmentation 5%,1
8,0.9975306203081786,0.9662035668538772,0.978349795470418,0.9722387467777116,0.8496139476961395,0.6363636363636364,0.6021505376344086,0.6187845303867403,0.6962616822429907,0.8277777777777777,0.7563451776649747,0.4700854700854701,0.45454545454545453,0.46218487394957986,0.6914893617021277,0.6770833333333334,0.6842105263157895,0.6504854368932039,0.4161490683229814,0.5075757575757576,8,spacy_large,Keyboard augmentation 5%,1
