Model,Domain,Average F1,Person F1,Location F1,Organization F1,Average F1 CI,Number of docs
spaCy (da_core_news_sm),News,0.49975147729000396,0.5018428893592202,0.6375892681374983,0.29103867544887185,[0.43748321 0.56117904],421
spaCy (da_core_news_sm),Conversation,0.502568801562263,0.24999890599556104,0.8047394682755802,0.3173999401003263,[0.4667984  0.53760131],1649
spaCy (da_core_news_sm),Web,0.29251374337303127,0.3550926849896739,0.3900969171174406,0.1443801735368168,[0.27589992 0.30863308],8270
spaCy (da_core_news_sm),Social Media,0.39001937588209823,0.4508681438615541,0.4632234073409536,0.17316949535676643,[0.32525718 0.46131081],554
spaCy (da_core_news_sm),Wiki & Books,0.33077701463503895,0.26317851797537417,0.47731992899166914,0.1288789508628137,[0.29426888 0.37254237],1709
spaCy (da_core_news_sm),Legal,0.4983002419145496,0.5431325840925575,0.5266443983629906,0.4673022856852745,[0.46463404 0.53357963],2163
spaCy (da_core_news_sm),,0.22786833698322925,0.16183451859380182,0.5732859197264705,0.18597991697019617,[0.14883726 0.31180206],271
spaCy (da_core_news_sm),dannet,0.7162418160814963,0.6589893045550942,0.7464365881032546,,[0.4        0.94442724],25
spaCy (da_core_news_lg),News,0.610043311112828,0.6869200400892693,0.6381231699593978,0.4579545021454189,[0.54785436 0.67722974],421
spaCy (da_core_news_lg),Conversation,0.6111519713752657,0.3509411575285554,0.9023380889890414,0.5237249951633483,[0.56677003 0.65462542],1649
spaCy (da_core_news_lg),Web,0.4824765027176919,0.6520457654085348,0.5530083668685876,0.28271209355831034,[0.46179235 0.50473902],8270
spaCy (da_core_news_lg),Social Media,0.5705280045287929,0.6506148661342762,0.649685779259057,0.31468454468749646,[0.50293713 0.63612989],554
spaCy (da_core_news_lg),Wiki & Books,0.5134389421669578,0.4449190945351011,0.70212922773352,0.2489061006079142,[0.47433592 0.56011557],1709
spaCy (da_core_news_lg),Legal,0.5635126948663892,0.7224540381175248,0.7247258141788009,0.45007690131538847,[0.52961467 0.59658821],2163
spaCy (da_core_news_lg),,0.32480879828056075,0.26113805584836686,0.633914987185015,0.2950782572229205,[0.23494898 0.42130045],271
spaCy (da_core_news_lg),dannet,0.8465820290820291,1.0,0.7444524611191277,,[0.47083333 1.        ],25
spaCy (da_core_news_sm),All,0.3405284341736741,0.3601145998213218,0.4594581522386654,0.2115883098319456,[0.32522018 0.35202088],15062
spaCy (da_core_news_lg),All,0.5104815955339242,0.5986342051549545,0.6231570427000457,0.3296309447198448,[0.49450447 0.52541135],15062
